"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.768396621506623,0.123284983527364,0.603452582359533,0.978425455790024,0.778005512922018,0.105900515181089,0.632176482998765,0.957474051021026,0.759101611908202,0.130140594404792,0.588195913973271,0.979665522171267,0,0,0,0
"result.2","2",0.685,0.787467385033156,0.0909679621941926,0.658869012787402,0.941165649705624,0.775624195815367,0.0899108635522819,0.650305873340585,0.92509220321798,0.766483511690867,0.115911698016202,0.610712469749924,0.961986209213205,0,0,0,0
"result.3","3",0.685,0.657817636530765,0.142311156661055,0.497700195030236,0.869447203862625,0.697239341473288,0.112090588395816,0.559716937179415,0.868550988912228,0.671047357620131,0.146631096551138,0.503429037057683,0.894474738288415,0,0,0,0
"result.4","4",0.685,0.694711412188967,0.106490783785477,0.56384229232065,0.855955562040611,0.694659367076847,0.102100337212688,0.568672640986529,0.84855785470966,0.69464708540854,0.119905021166213,0.549160135258746,0.878677351623903,0,0,0,0
"result.5","5",0.685,0.646615058668796,0.109606549869874,0.521611113153204,0.801576161922083,0.65925791514399,0.0976780417031003,0.544389982550665,0.798363328883539,0.632226855240959,0.115450259252921,0.504196347092757,0.792768132479821,0,0,0,0
"result.6","6",0.685,0.791878769075906,0.109751698887394,0.638610665123853,0.981931588617546,0.815641434424044,0.091096952317033,0.682269549242099,0.975085214177197,0.816309295779936,0.111088555770937,0.656589985425691,1.01488125187397,0,0,0,0
"result.7","7",0.685,0.77107515785212,0.0933644095220714,0.64213053409027,0.925912828454736,0.775412144200633,0.0864544693755545,0.654547349316616,0.918595108515185,0.763445428496082,0.0989131037366923,0.628899812451763,0.926775474807874,0,0,0,0
"result.8","8",0.685,0.663524762515023,0.121707666712424,0.522705991037813,0.842280589890482,0.666542001460266,0.111931499407298,0.535241162704725,0.830052452366693,0.663907328722116,0.134437382474513,0.510119649420165,0.864057955093373,0,0,0,0
"result.9","9",0.685,0.608079103708007,0.146151861314036,0.456618079898381,0.809780016701534,0.63084353615248,0.126975113247386,0.491856323336298,0.809105318410768,0.609442494009192,0.147633269349157,0.456315012133986,0.813955586881032,0,0,0,0
"result.10","10",0.685,0.730697739265413,0.103224217211534,0.596858710245851,0.894548704747328,0.745033223343349,0.0894037014879897,0.625278754534864,0.887723275194745,0.743628940865706,0.106021395897879,0.604100297170838,0.915384422558344,0,0,0,0
"result.11","11",0.685,0.687368728140795,0.13552108546421,0.527025820666501,0.896494535748514,0.714799346202255,0.111822069266204,0.574115509917831,0.889956979919072,0.693476107492543,0.140272694380928,0.526779632325036,0.912922752044209,0,0,0,0
"result.12","12",0.685,0.744574844214852,0.117096720045871,0.591879937053503,0.936662427514344,0.774408628413408,0.0914866014141594,0.647284512652352,0.926499417240394,0.756199407010581,0.114620064548258,0.604045653758869,0.946679343862024,0,0,0,0
"result.13","13",0.685,0.746227255488061,0.126940201186805,0.581858558467917,0.957028316812063,0.779999252310716,0.0989407743443958,0.64250143060673,0.946922146197791,0.777060108600312,0.118083572934187,0.616509606171981,0.979420930887307,0,0,0,0
"result.14","14",0.685,0.69160921703321,0.11197811931886,0.555319690578254,0.861347647491506,0.706592611162054,0.100045901359847,0.580775518521256,0.859666260416822,0.691576610594196,0.114291042306909,0.552781878735878,0.865220490611415,0,0,0,0
"result.15","15",0.685,0.704014204613612,0.125646625848591,0.550337180753093,0.900604243419458,0.747792517175205,0.0990262214120443,0.615868928247164,0.907975095179361,0.741101893286732,0.119934237750301,0.585851894376781,0.937492942337315,0,0,0,0
"result.16","16",0.685,0.770672414167483,0.0896008736450565,0.646546865429722,0.918627870176095,0.780415012138281,0.0798906838780879,0.667300256723438,0.912703966519246,0.768527293740386,0.0944569772575179,0.638639672497849,0.924831679989175,0,0,0,0
"result.17","17",0.685,0.698620481507831,0.140866636181232,0.530069983919719,0.92076629876887,0.695478449471287,0.129033066640326,0.540068084817153,0.895609807868475,0.661061790342448,0.172523900166443,0.471396926835054,0.927037631714715,0,0,0,0
"result.18","18",0.685,0.638671175526415,0.141372633345707,0.484103810528666,0.84258967101053,0.651613855957862,0.121692992406213,0.513337680854333,0.827137054442649,0.655153617752396,0.154706090215936,0.483787520084083,0.88722061862913,0,0,0,0
"result.19","19",0.685,0.624225568748338,0.127495171822334,0.486200579926673,0.801433763690601,0.631248911950485,0.115007866295193,0.50385314115192,0.790855819470865,0.614470299760311,0.141028469626331,0.466074174871635,0.810115148284105,0,0,0,0
"result.20","20",0.685,0.744824317046234,0.123831186818984,0.584314431686863,0.949425913821496,0.758644044200755,0.107228999456529,0.614841092649087,0.936080546148141,0.749682426628328,0.125651370315594,0.58603118206555,0.959033850066488,0,0,0,0
"result.21","21",0.685,0.695096256102405,0.130192652757556,0.538545902599181,0.897154361245184,0.695637302812585,0.119626677270011,0.550243066894543,0.879449985250085,0.670613956585966,0.153362992105541,0.496509283589725,0.905769728042988,0,0,0,0
"result.22","22",0.685,0.778180765003363,0.0848449058915855,0.658959995237348,0.918971268966188,0.778900879319901,0.0815701660228865,0.663816842253346,0.913936708423816,0.770869955613729,0.0950510837757955,0.63984090875018,0.92873162741135,0,0,0,0
"result.23","23",0.685,0.50620364033857,0.212538167740472,0.333740662173387,0.76778814970678,0.609387344737099,0.145642658183284,0.458057393479796,0.810712677519769,0.564657288572023,0.191210884653831,0.388170875826066,0.821385305785732,0,0,0,0
"result.24","24",0.685,0.663125452204765,0.123285703381612,0.52077819027741,0.844381300083889,0.666554131414093,0.112796320581182,0.534344394931024,0.831475756684128,0.665457193468132,0.154419018758709,0.491672594497094,0.900666991194484,0,0,0,0
"result.25","25",0.685,0.64647778908195,0.154935137675002,0.477166731691912,0.875864774340828,0.652010721532486,0.138138994764293,0.497357247697243,0.854753766958464,0.621001701537027,0.171866546956839,0.443401371308547,0.869738206207592,0,0,0,0
"result.26","26",0.685,0.710864648159193,0.11866326883042,0.563350524981561,0.897005550885096,0.724340436178143,0.106494842695739,0.587885150123245,0.892468652036458,0.736747557856311,0.129904756406791,0.57113864115191,0.950376887321947,0,0,0,0
"result.27","27",0.685,0.679077556585061,0.140681643209317,0.515428875528004,0.894684698029655,0.711144682083877,0.110386155420024,0.572789930154534,0.882918382869855,0.701373193093281,0.139468331118095,0.533619046786438,0.921864313038173,0,0,0,0
"result.28","28",0.685,0.738167116584106,0.110060698490704,0.594934476028561,0.91588353669377,0.73975160306159,0.0992574144228427,0.608970560635069,0.89861886535452,0.72063433619667,0.132881883348151,0.555397101040549,0.935031611675087,0,0,0,0
"result.29","29",0.685,0.713113334580105,0.107768234659428,0.577330343866301,0.880831283785289,0.707991785498393,0.103493807330756,0.578006219418861,0.867209298953863,0.699965720057248,0.126441792774901,0.546320308127758,0.896821886292913,0,0,0,0
"result.30","30",0.685,0.821368909512849,0.101396579274984,0.673329665760453,1.00195627761683,0.825217664199553,0.0871215405548444,0.695679431594441,0.978876422645134,0.785290111736537,0.112493254443745,0.629903378327843,0.979008179362743,0,0,0,0
