"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.780146268215404,0.11033464137318,0.628430554797252,0.968489191310534,0.779095840750693,0.10755524666698,0.631012571401503,0.961930643833103,0.754356199291398,0.134496010407725,0.579550317927049,0.981887608041988,0,0,0,0
"result.2","2",0.685,0.779224191391156,0.0911111703414735,0.651789009454228,0.931574990743751,0.782326408018812,0.0890387580586883,0.657047352180185,0.931492390392856,0.782381460706572,0.102657016366839,0.639786592126692,0.956757702631156,0,0,0,0
"result.3","3",0.685,0.669104164181032,0.120627781435123,0.528218116434572,0.847567261695487,0.676532508879227,0.118028271732968,0.536810469160531,0.852621664190288,0.671033556975412,0.149189822378704,0.500900307498056,0.89895340020094,0,0,0,0
"result.4","4",0.685,0.701467770055662,0.104222091924102,0.571863115394665,0.860445479312434,0.704862666777454,0.101865823994774,0.577290710072295,0.860625972925157,0.710663189650015,0.111925531461831,0.570677677383526,0.884986725675127,0,0,0,0
"result.5","5",0.685,0.646462283620425,0.10342536031594,0.527844192901221,0.791736443753853,0.649965612021252,0.101530664525899,0.532679193418041,0.793076399510544,0.634135595340079,0.11730661228958,0.50388186424566,0.798059985507367,0,0,0,0
"result.6","6",0.685,0.833848574861238,0.0956320160586382,0.69132709018112,1.00575177173508,0.833549453910733,0.0939099560187648,0.693415592112858,1.00200327194517,0.81588965218709,0.116130272747121,0.649799452763004,1.02443287958378,0,0,0,0
"result.7","7",0.685,0.776579284161426,0.0874874416722781,0.654206699772787,0.921842263000558,0.776966198277661,0.0854972566814346,0.657090806947355,0.918710879658383,0.77246173492892,0.0951867911871537,0.640991606688752,0.930896950448116,0,0,0,0
"result.8","8",0.685,0.665369820790576,0.116786332301877,0.529239884139482,0.836514804886105,0.668716868246512,0.114389238192153,0.534407067537461,0.836782065660232,0.65600300868809,0.136353544991111,0.50215680283604,0.85698320719223,0,0,0,0
"result.9","9",0.685,0.613327905389301,0.140311767020729,0.465861625306,0.807473934523241,0.614236344850076,0.136623550640683,0.469936519783717,0.802845217282587,0.6032031325659,0.156190587790958,0.444131397007013,0.819248586317732,0,0,0,0
"result.10","10",0.685,0.738578684686118,0.0934451884750416,0.61497097619528,0.887031249584463,0.742219574837199,0.0917671487220581,0.620038461539857,0.888476975933694,0.749267638841628,0.110980884721555,0.602792915399889,0.931334759040555,0,0,0,0
