"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.684981206680607,0.0624692187983209,0.562541537835898,0.807420875525316,0.710820385071554,0.0634846904679076,0.586390391754455,0.835250378388652,0.70988030090355,0.0644278762396695,0.583601663473798,0.836158938333303,0,0,0,0
"result.2","2",0.685,0.606598293574523,0.0594239953256814,0.490127262736187,0.723069324412858,0.60655066364124,0.0590228776055631,0.490865823534336,0.722235503748143,0.603467357641554,0.0590233516855167,0.487781588337941,0.719153126945167,0,0,0,0
"result.3","3",0.685,0.830915217060519,0.0680520830106121,0.69753313435972,0.964297299761319,0.856576533390432,0.0686622476858621,0.721998527926143,0.991154538854722,0.856486104895861,0.0691302315581621,0.720990851041863,0.991981358749858,0,0,0,0
"result.4","4",0.685,0.708239429495604,0.0644272614295943,0.581961997093599,0.834516861897609,0.724568763654211,0.0650555988022646,0.597059790001773,0.85207773730665,0.726874828981445,0.0671100739975782,0.595339083946191,0.858410574016698,0,0,0,0
"result.5","5",0.685,0.545099854123575,0.0545133002887969,0.438253785557534,0.651945922689617,0.591759425750103,0.0563348467704021,0.481343126080115,0.702175725420092,0.586997560699192,0.0581704998673103,0.472983380959263,0.70101174043912,0,0,0,0
"result.6","6",0.685,0.778577945405711,0.0655660824958753,0.650068423713795,0.907087467097627,0.805283569969987,0.067231481668392,0.673509865899938,0.937057274040035,0.795470088181154,0.0704101988223656,0.657466098489317,0.93347407787299,0,0,0,0
"result.7","7",0.685,0.625827774257874,0.0583319732964352,0.511497106596861,0.740158441918887,0.637656332421573,0.0585848697615079,0.522829987689017,0.752482677154129,0.637636060241645,0.0587666889521554,0.52245334989542,0.752818770587869,0,0,0,0
"result.8","8",0.685,0.724785916356185,0.0659777765410691,0.595469474335689,0.85410235837668,0.729410276860187,0.066487898063134,0.599093996656445,0.85972655706393,0.729053415440027,0.0663143476663204,0.599077294014039,0.859029536866015,0,0,0,0
"result.9","9",0.685,0.675520242842404,0.0626929207884757,0.552642118096992,0.798398367587817,0.68845207342144,0.0629487093412456,0.565072603112599,0.811831543730282,0.687604933987961,0.0632180132383539,0.563697628040787,0.811512239935135,0,0,0,0
"result.10","10",0.685,0.63949580860576,0.0612126210501095,0.519519071347546,0.759472545863975,0.679514830806553,0.0630616180984205,0.555914059333649,0.803115602279457,0.678552665922296,0.067053082835627,0.547128623564467,0.809976708280125,0,0,0,0
