"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.686,0.738686419579535,0.109901488492694,0.523279502133855,0.954093337025216,0.749304540044048,0.101088148520042,0.551171768944766,0.947437311143331,0.621691217954287,0,0,0,0
"result.2","2",0.686,0.82855867223659,0.111320125326942,0.610371226595784,1.0467461178774,0.877987203246519,0.109182355352637,0.66398978675535,1.09198461973769,0.793373354403148,0,0,0,0
"result.3","3",0.686,0.72765983834837,0.114702144366711,0.502843635389617,0.952476041307123,0.767955410172832,0.110521886323348,0.55133251297907,0.984578307366595,0.690017389502025,0,0,0,0
"result.4","4",0.686,0.63988541905009,0.097557774440801,0.44867218114612,0.83109865695406,0.65901326324428,0.0938560530668634,0.475055399233227,0.842971127255332,0.590399043941667,0,0,0,0
"result.5","5",0.686,0.786703100069281,0.116492334237229,0.558378124964313,1.01502807517425,0.798962846167504,0.110377489367339,0.582622967007519,1.01530272532749,0.699718527024797,0,0,0,0
"result.6","6",0.686,0.648289758663868,0.102959771814983,0.446488605906501,0.850090911421235,0.6575720177587,0.0973461514942343,0.46677356083,0.848370474687399,0.57293836958436,0,0,0,0
"result.7","7",0.686,0.718288011280295,0.10846892748743,0.505688913404933,0.930887109155658,0.717981930349202,0.101770869592226,0.518511025948439,0.917452834749966,0.629630702742851,0,0,0,0
"result.8","8",0.686,0.690778674287117,0.106992510516281,0.481073353675206,0.900483994899029,0.702663822950689,0.100514143197868,0.505656102282868,0.89967154361851,0.602024963334919,0,0,0,0
"result.9","9",0.686,0.775440812257472,0.114701430282283,0.550626008904196,1.00025561561075,0.836856978010978,0.113991376654098,0.613433879768947,1.06028007625301,0.768457617397242,0,0,0,0
"result.10","10",0.686,0.929091139747801,0.125765462886285,0.682590832490681,1.17559144700492,0.979673733542104,0.124219487983259,0.736203537094917,1.22314392998929,0.905903099718358,0,0,0,0
"result.11","11",0.686,0.709191036669387,0.107679907801238,0.498138417378961,0.920243655959814,0.74707497593241,0.10494959707579,0.541373765663862,0.952776186200958,0.689538611396623,0,0,0,0
"result.12","12",0.686,0.774140018795475,0.107550520245928,0.563340999113457,0.984939038477493,0.77515401293315,0.0991622729749566,0.580795957902235,0.969512067964065,0.651989113493832,0,0,0,0
"result.13","13",0.686,0.589133920483495,0.098876486507688,0.395336006928426,0.782931834038563,0.59050170438715,0.0910673227672791,0.412009751763283,0.768993657011017,0.501798581208101,0,0,0,0
"result.14","14",0.686,0.963214237418275,0.124505928791176,0.719182616987571,1.20724585784898,1.03307899832017,0.125343793490665,0.787405163078471,1.27875283356188,0.969632043020144,0,0,0,0
"result.15","15",0.686,0.525893825407591,0.0967113399858879,0.336339599035251,0.715448051779932,0.568283022690918,0.0949779793545829,0.382126183155936,0.754439862225901,0.502145297389967,0,0,0,0
"result.16","16",0.686,0.858494242500658,0.115853780144932,0.63142083341659,1.08556765158472,0.857444322302635,0.107678985847689,0.646393510041164,1.0684951345641,0.737008507763202,0,0,0,0
"result.17","17",0.686,0.681599056198765,0.104285102891049,0.477200254532309,0.885997857865221,0.714083732643766,0.101749320065627,0.514655065315137,0.913512399972396,0.651791226811759,0,0,0,0
"result.18","18",0.686,0.687871572187912,0.103336441875992,0.485332146110968,0.890410998264857,0.713634563574987,0.101926503743569,0.513858616237593,0.913410510912382,0.658978450897191,0,0,0,0
"result.19","19",0.686,0.671827690084224,0.110660642023772,0.45493283171763,0.888722548450818,0.687215364017667,0.105531337986879,0.480373941563385,0.89405678647195,0.599687423335789,0,0,0,0
"result.20","20",0.686,0.679665040718661,0.101071166742362,0.481565553903632,0.877764527533689,0.628388458014631,0.0888715789910373,0.454200163192198,0.802576752837064,0.525635560341184,0,0,0,0
"result.21","21",0.686,0.530999929983202,0.0917179410318341,0.351232765560807,0.710767094405596,0.527871479713658,0.084917530801644,0.361433119342435,0.69430984008488,0.454674080328593,0,0,0,0
"result.22","22",0.686,0.75532446928539,0.115942521429842,0.528077127282899,0.98257181128788,0.770442568475244,0.111565176095374,0.551774823328311,0.989110313622177,0.694749150760295,0,0,0,0
"result.23","23",0.686,0.593662486116178,0.096489905287436,0.404542271752803,0.782782700479552,0.595803599013449,0.0907110030054164,0.418010033122833,0.773597164904066,0.523735426833646,0,0,0,0
"result.24","24",0.686,0.610232644260342,0.100274489330859,0.413694645171859,0.806770643348825,0.653889702860398,0.0971690939024798,0.463438278811538,0.844341126909259,0.577195170164348,0,0,0,0
"result.25","25",0.686,0.783580537963977,0.108011302146347,0.571878385757137,0.995282690170817,0.812143364175663,0.104976348563418,0.606389720991364,1.01789700735996,0.743040828289693,0,0,0,0
"result.26","26",0.686,0.696108369207619,0.110696512655474,0.479143204402891,0.913073534012347,0.753321817344325,0.108614895036667,0.540436623072457,0.966207011616192,0.67760548869006,0,0,0,0
"result.27","27",0.686,0.680021323478276,0.104316456796022,0.475561068158072,0.88448157879848,0.718177889865993,0.102033554890021,0.518192122281551,0.918163657450435,0.653595974672574,0,0,0,0
"result.28","28",0.686,0.650535680540441,0.100304617498196,0.453938630243978,0.847132730836904,0.638999922245648,0.0916511660139155,0.459363636858374,0.818636207632922,0.54232085396037,0,0,0,0
"result.29","29",0.686,0.826435403430801,0.120138311716146,0.590964312467154,1.06190649439445,0.840625785618466,0.11386983470984,0.61744090958718,1.06381066164975,0.738134164372365,0,0,0,0
"result.30","30",0.686,0.685655612192825,0.109790721884597,0.470465797299015,0.900845427086635,0.763452713471066,0.10989741200738,0.5480537859366,0.978851641005531,0.706862318867093,0,0,0,0
"result.31","31",0.686,0.922264603121198,0.125012643883449,0.677239821109638,1.16728938513276,0.941018426054243,0.118952159533169,0.707872193369232,1.17416465873925,0.830593085270787,0,0,0,0
