"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.686,0.732906799445089,0.0251620066857604,0.683589266340999,0.78222433254918,0.736893971640386,0.0250973764259072,0.687703113845608,0.786084829435164,0.72993812275433,0,0,0,0
"result.2","2",0.686,0.697371763898067,0.0244266919666307,0.649495447643471,0.745248080152663,0.701395237791105,0.024276803662746,0.653812702612123,0.748977772970087,0.690100112457888,0,0,0,0
"result.3","3",0.686,0.700744664344574,0.0243772864510257,0.652965182900563,0.748524145788584,0.706710714238509,0.0243038821656846,0.659075105193767,0.75434632328325,0.697276483045081,0,0,0,0
"result.4","4",0.686,0.673498383952434,0.0236989556516104,0.627048430875278,0.719948337029591,0.678870239945514,0.0236521963425697,0.632511935114077,0.725228544776951,0.67139695932363,0,0,0,0
"result.5","5",0.686,0.671695131778655,0.0235409103608322,0.625554947471424,0.717835316085886,0.676259551984642,0.0234625703198547,0.630272914157727,0.722246189811557,0.666954523232467,0,0,0,0
"result.6","6",0.686,0.731295040661096,0.0245981779477129,0.683082611883579,0.779507469438613,0.73347606323811,0.0244826667086966,0.685490036489065,0.781462089987155,0.72312634663021,0,0,0,0
"result.7","7",0.686,0.707044750037267,0.0245506975150035,0.65892538290786,0.755164117166674,0.710787987673572,0.0244768505141235,0.66281336066589,0.758762614681254,0.703380498407386,0,0,0,0
"result.8","8",0.686,0.680401040620632,0.0241013029970617,0.633162486746391,0.727639594494873,0.686858439082069,0.0241199868038446,0.639583264946534,0.734133613217605,0.680887703589668,0,0,0,0
"result.9","9",0.686,0.702426546432211,0.0241889067995478,0.655016289105097,0.749836803759324,0.707009742875167,0.0240925030389801,0.659788436918766,0.754231048831568,0.695542379765311,0,0,0,0
"result.10","10",0.686,0.690536845755848,0.02413293340114,0.643236296289613,0.737837395222082,0.694609238328963,0.0240939372049774,0.647385121407207,0.741833355250719,0.687810376416307,0,0,0,0
"result.11","11",0.686,0.731303124513946,0.0252301727018792,0.681851986018263,0.780754263009629,0.735615130821609,0.0251351458952463,0.686350244866926,0.784880016776291,0.725227473001698,0,0,0,0
"result.12","12",0.686,0.669812246966176,0.0234793292892116,0.623792761559321,0.715831732373031,0.673513570616929,0.023427079558309,0.627596494682643,0.719430646551215,0.665383564715339,0,0,0,0
"result.13","13",0.686,0.643952376571123,0.0234543670838659,0.597981817086746,0.6899229360555,0.650542851414084,0.0234527673702567,0.604575427368381,0.696510275459787,0.644106694811409,0,0,0,0
"result.14","14",0.686,0.670886617513695,0.0239429654216904,0.623958405287182,0.717814829740209,0.678044429321208,0.0239101016854385,0.631180630017748,0.724908228624667,0.67172097251203,0,0,0,0
"result.15","15",0.686,0.702920014363522,0.0246431501207868,0.65461944012678,0.751220588600264,0.709556353370059,0.0246479587066122,0.661246354305099,0.757866352435019,0.701525423370474,0,0,0,0
"result.16","16",0.686,0.701080664032296,0.0242547558579884,0.653541342550639,0.748619985513954,0.706088562400558,0.024256065126192,0.658546674753221,0.753630450047894,0.699800142773889,0,0,0,0
"result.17","17",0.686,0.710258430082839,0.0244826430086019,0.662272449785979,0.758244410379698,0.715734984972899,0.0244306826180611,0.667850847041499,0.763619122904299,0.707111355610113,0,0,0,0
"result.18","18",0.686,0.720269366140078,0.024805031627715,0.671651504149756,0.768887228130399,0.726930228578623,0.0247767571370894,0.678367784589928,0.775492672567318,0.718997189986333,0,0,0,0
"result.19","19",0.686,0.664416321400716,0.0235934373519184,0.618173184190956,0.710659458610476,0.666901540712381,0.0234752080522975,0.620890132929877,0.712912948494884,0.656903402161492,0,0,0,0
"result.20","20",0.686,0.720042606420975,0.0247149629626405,0.6716012790142,0.76848393382775,0.730050824211191,0.0247743253130364,0.681493146597639,0.778608501824742,0.723888228538649,0,0,0,0
"result.21","21",0.686,0.665558248642421,0.0236403506064819,0.619223161453716,0.711893335831125,0.669520943713141,0.0234987068439218,0.623463478299055,0.715578409127228,0.658237565850304,0,0,0,0
"result.22","22",0.686,0.683271572676307,0.024017118845519,0.63619801973909,0.730345125613524,0.686657062957257,0.0238925561497892,0.63982765290367,0.733486473010844,0.674985080637866,0,0,0,0
"result.23","23",0.686,0.681635649035425,0.0242381452739295,0.634128884298523,0.729142413772327,0.684077686559741,0.0241053903602496,0.636831121453652,0.73132425166583,0.6739330105545,0,0,0,0
"result.24","24",0.686,0.665321599234169,0.0240035184455721,0.618274703080848,0.71236849538749,0.671182579825431,0.0240107750638419,0.624121460700301,0.718243698950561,0.665288946694846,0,0,0,0
"result.25","25",0.686,0.694442277957056,0.0241867610679366,0.6470362262639,0.741848329650212,0.702763189688774,0.0242387580061758,0.655255223996669,0.750271155380878,0.696535324758642,0,0,0,0
"result.26","26",0.686,0.663352288892058,0.0233939374481081,0.617500171493766,0.70920440629035,0.669405235306211,0.0233889522494639,0.623562888897262,0.715247581715161,0.664100396130958,0,0,0,0
"result.27","27",0.686,0.661430900436571,0.0236460205017348,0.615084700253171,0.707777100619972,0.665082789372421,0.023609925848338,0.618807334709679,0.711358244035164,0.659023378851204,0,0,0,0
