"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.686,0.464418425762865,0.12435644526951,0.220679793034625,0.708157058491104,0.476249867720832,0.112466532509642,0.255815464001933,0.696684271439731,0.377274239370135,0,0,0,0
"result.2","2",0.686,0.815423428415801,0.161089818744725,0.499687383676141,1.13115947315546,0.833839655388719,0.152372453304719,0.535189646911469,1.13248966386597,0.722758832781836,0,0,0,0
"result.3","3",0.686,0.47783304378393,0.124431001020268,0.233948281784204,0.721717805783657,0.487907960901771,0.113013385059818,0.266401726184529,0.709414195619014,0.390311138580754,0,0,0,0
"result.4","4",0.686,0.980283477638018,0.1754432840993,0.636414640803389,1.32415231447265,1.00411617678928,0.170274926388522,0.670377321067772,1.33785503251078,0.917058606513355,0,0,0,0
"result.5","5",0.686,0.86021086926681,0.157374768460392,0.551756323084441,1.16866541544918,0.875531387816313,0.148205240174228,0.585049117074827,1.1660136585578,0.754780946675077,0,0,0,0
"result.6","6",0.686,0.551543176982289,0.131739520854696,0.293333716107084,0.809752637857493,0.562340607369102,0.120174342779788,0.326798895520718,0.797882319217487,0.45422748840239,0,0,0,0
"result.7","7",0.686,0.882350480683197,0.164684173366554,0.55956950088475,1.20513146048164,0.903553036562656,0.158992490636114,0.591927754915872,1.21517831820944,0.814869839469692,0,0,0,0
"result.8","8",0.686,0.847479231974228,0.170002682599132,0.514273974079929,1.18068448986853,0.864940305990645,0.157902368050595,0.555451664611479,1.17442894736981,0.723512261939298,0,0,0,0
"result.9","9",0.686,0.838781174632185,0.172942667399919,0.499813546528344,1.17774880273603,0.861196409923718,0.164046151571343,0.539665952843885,1.18272686700355,0.749194572404165,0,0,0,0
"result.10","10",0.686,0.849515648506197,0.173155029002669,0.510131791660967,1.18889950535143,0.865355465429844,0.160157053519879,0.551447640530882,1.17926329032881,0.714745516100538,0,0,0,0
"result.11","11",0.686,0.608692579112086,0.135266565688155,0.343570110363302,0.87381504786087,0.620487483009887,0.123034860284481,0.379339156852306,0.861635809167469,0.499789903796825,0,0,0,0
"result.12","12",0.686,0.797971619599085,0.176339338725683,0.452346515696746,1.14359672350142,0.805332782324345,0.155164075036844,0.50121119525213,1.10945436939656,0.606802266331346,0,0,0,0
"result.13","13",0.686,0.717476967433779,0.158981114599816,0.405873982818139,1.02907995204942,0.724627648972827,0.140207231082957,0.449821476050231,0.999433821895422,0.548382399242503,0,0,0,0
"result.14","14",0.686,0.830386249240444,0.17340846211971,0.490505663485813,1.17026683499508,0.853615636739545,0.167282758794711,0.525741429501913,1.18148984397718,0.769239044101747,0,0,0,0
"result.15","15",0.686,0.802067624797792,0.165541584667528,0.477606118849437,1.12652913074615,0.81938083434619,0.154465753844192,0.516627956811574,1.12213371188081,0.696542403258717,0,0,0,0
"result.16","16",0.686,0.964350194187525,0.175123609334485,0.621107919891934,1.30759246848312,0.981675470458805,0.162876968879799,0.6624366114544,1.30091432946321,0.821830658018569,0,0,0,0
"result.17","17",0.686,0.551513850970562,0.134816841157865,0.287272842301146,0.815754859639978,0.566091805078658,0.125057398314808,0.320979304381633,0.811204305775682,0.471372653512316,0,0,0,0
"result.18","18",0.686,0.710998283178055,0.158228005409501,0.400871392575434,1.02112517378068,0.715783048717333,0.140262559179922,0.440868432724687,0.99069766470998,0.552314252096908,0,0,0,0
"result.19","19",0.686,0.727423893176396,0.146450170995068,0.440381558026063,1.01446622832673,0.742599621467606,0.136501621324029,0.475056443672508,1.0101427992627,0.624996647336689,0,0,0,0
"result.20","20",0.686,0.71952829452855,0.157647686167047,0.410538829641138,1.02851775941596,0.736212923827252,0.145288483306709,0.451447496546103,1.0209783511084,0.607538826532589,0,0,0,0
"result.21","21",0.686,0.557166716930769,0.128906146025813,0.304510670720176,0.809822763141363,0.57187021108908,0.120855154266223,0.334994108727283,0.808746313450876,0.48461113375482,0,0,0,0
"result.22","22",0.686,0.929260296319791,0.159744148608092,0.616161765047931,1.24235882759165,0.951532450073332,0.155664007282448,0.646430995799735,1.25663390434693,0.87936792879594,0,0,0,0
"result.23","23",0.686,0.447584005819159,0.119030343969177,0.214284531639573,0.680883479998745,0.460576488801383,0.109568001312951,0.245823206227999,0.675329771374767,0.377374888455496,0,0,0,0
"result.24","24",0.686,0.683089434559484,0.146776538554079,0.395407418993489,0.970771450125479,0.697689334247628,0.135379693412324,0.432345135159474,0.963033533335783,0.577421634126407,0,0,0,0
"result.25","25",0.686,0.593855441217411,0.147070251052587,0.305597749154341,0.882113133280481,0.608718549953779,0.134788932445845,0.344532242359923,0.872904857547635,0.494404071086015,0,0,0,0
"result.26","26",0.686,0.792292016505022,0.166887798333099,0.465191931772148,1.1193921012379,0.810437235773836,0.156051511501443,0.504576273231009,1.11629819831666,0.687763373093186,0,0,0,0
"result.27","27",0.686,0.743995586113353,0.168242456350332,0.414240371666702,1.07375080056,0.745085062357492,0.14192614209274,0.466909823855721,1.02326030085926,0.522269335146191,0,0,0,0
"result.28","28",0.686,0.6555263807061,0.146488954384347,0.368408030112779,0.942644731299421,0.668429890743292,0.133795943857681,0.406189840782237,0.930669940704346,0.540794133022157,0,0,0,0
"result.29","29",0.686,0.831891001219419,0.165987776053463,0.506554960154631,1.15722704228421,0.852592139908012,0.157876724515211,0.543153759858199,1.16203051995782,0.746654282493151,0,0,0,0
"result.30","30",0.686,0.678988885081899,0.145296795507625,0.394207165886954,0.963770604276844,0.687833331551819,0.129259754440075,0.434484212849271,0.941182450254366,0.530073404023416,0,0,0,0
"result.31","31",0.686,0.86204261058443,0.166914920391479,0.534889366617131,1.18919585455173,0.874196127132409,0.151321868298028,0.577605265268275,1.17078698899654,0.698593105684624,0,0,0,0
"result.32","32",0.686,0.595486836200268,0.133819482947193,0.33320064962377,0.857773022776765,0.614044522509322,0.129780029352576,0.359675664978272,0.868413380040372,0.557422324936146,0,0,0,0
"result.33","33",0.686,1.08765836924381,0.194839628700932,0.705772696989985,1.46954404149764,1.11158904070126,0.185668535299741,0.747678711513771,1.47549936988876,0.980348920774682,0,0,0,0
"result.34","34",0.686,1.28732627399388,0.201894031681009,0.891613971899104,1.68303857608866,1.31274445401809,0.193264520399852,0.93394599403438,1.6915429140018,1.16829915943041,0,0,0,0
"result.35","35",0.686,0.913471020236823,0.154311953208886,0.611019591947406,1.21592244852624,0.935356602392018,0.151081038940486,0.639237766068666,1.23147543871537,0.87336262070079,0,0,0,0
"result.36","36",0.686,0.682499113265392,0.144456813888369,0.399363758044189,0.965634468486596,0.700524375439652,0.137274604156094,0.431466151293706,0.969582599585597,0.610035856288065,0,0,0,0
"result.37","37",0.686,0.925631062987849,0.173012119336246,0.586527309088807,1.26473481688689,0.941941928627507,0.159467812786489,0.629385015565989,1.25449884168903,0.777376115020814,0,0,0,0
"result.38","38",0.686,0.656913367631128,0.144314703330423,0.374056549103499,0.939770186158757,0.671160772086411,0.132397671518331,0.411661335910482,0.93066020826234,0.548027646143912,0,0,0,0
