"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.11,0.0970057751833632,0.0222791149496002,0.0533387098821469,0.14067284048458,0.0968491272619191,0.0222253802947092,0.0532873818842891,0.140410872639549,0.0956095647451409,0.0957421433712277,0.0221809474632393,0.0522674863432787,0.139216800399177
"result.2","2",0.11,0.171314097101962,0.0304068747908656,0.111716622511865,0.230911571692058,0.17048029475931,0.0303827537904004,0.110930097330126,0.230030492188495,0.169775002547587,0.170277624928628,0.030466816950581,0.110562663705489,0.229992586151766
"result.3","3",0.11,0.114563018799936,0.0245633181821379,0.0664189151629454,0.162707122436926,0.113316540168017,0.0245443281662655,0.065209656962137,0.161423423373898,0.113207804597533,0.11388850761969,0.0246129613612888,0.065647103351564,0.162129911887816
"result.4","4",0.11,0.122064678717898,0.0256577086377229,0.071775569787961,0.172353787647835,0.122783552210321,0.0255958203850033,0.072615744255715,0.172951360164928,0.120231109158883,0.122012528818173,0.0257176466406699,0.0716059414024604,0.172419116233886
"result.5","5",0.11,0.119095421368526,0.0253037438647463,0.069500083393623,0.168690759343429,0.122580168854789,0.0251212705280577,0.0733424786197963,0.171817859089783,0.117740071985243,0.117074724513861,0.025099133433771,0.0678804229836702,0.166269026044052
"result.6","6",0.11,0.152497097418395,0.0287782101518427,0.0960918055207836,0.208902389316007,0.152322083557101,0.0287551442749,0.0959620007782967,0.208682166335905,0.151345949943256,0.151454309786967,0.0287511748339495,0.0951020071124256,0.207806612461508
"result.7","7",0.11,0.151244751636198,0.0276681041961863,0.0970152674116727,0.205474235860723,0.149538857828608,0.0276891082013127,0.0952682057540356,0.203809509903181,0.149875793077616,0.149934297314321,0.0276105503632769,0.0958176186022985,0.204050976026344
"result.8","8",0.11,0.107311047698213,0.0239992341883675,0.0602725486890132,0.154349546707414,0.107801285485406,0.0239800900569045,0.0608003089738736,0.154802261996939,0.10644745350658,0.106820042198132,0.0240417969699119,0.0596981201371044,0.153941964259159
"result.9","9",0.11,0.10985759822721,0.0238553951763177,0.063101023681627,0.156614172772792,0.109683744022998,0.0237979849028277,0.0630396936134556,0.15632779443254,0.107808879544062,0.1080117029398,0.0238288294056435,0.0613071973047391,0.154716208574862
"result.10","10",0.11,0.160906060800105,0.0290569491678934,0.103954440431034,0.217857681169176,0.159457685730624,0.0290582115081966,0.102503591174559,0.216411780286689,0.159470775245471,0.159152366544111,0.0290568309547959,0.102200977872711,0.216103755215511
"result.11","11",0.11,0.116082603573948,0.024963491946339,0.0671541593591237,0.165011047788773,0.114385380407391,0.0249431990057995,0.0654967103560238,0.163274050458758,0.114254661374722,0.114584553392643,0.0249526945719226,0.0656772720316747,0.163491834753612
"result.12","12",0.11,0.125294315653427,0.025579710036242,0.0751580839823931,0.175430547324462,0.126041094216074,0.025558568876884,0.0759462992173815,0.176135889214767,0.12396571683314,0.124400364675094,0.0256051988347223,0.074214174959038,0.17458655439115
"result.13","13",0.11,0.1307649241975,0.0260576301485072,0.0796919691064254,0.181837879288574,0.130668187658233,0.0260168340329427,0.0796751929536652,0.1816611823628,0.129100193759527,0.129834137425231,0.0261054390390025,0.078667476908786,0.181000797941676
"result.14","14",0.11,0.145413833174608,0.0276280689754878,0.0912628179826522,0.199564848366564,0.144670370733184,0.0276055239073697,0.0905635438747396,0.198777197591629,0.143981175581326,0.14411351035259,0.0275912509075465,0.0900346585737992,0.198192362131381
"result.15","15",0.11,0.0749465334210912,0.0195307784640845,0.0366662076314857,0.113226859210697,0.0751209901196089,0.0194676805400791,0.036964336261054,0.113277643978164,0.0737331065532379,0.0735754036054792,0.0194444599770519,0.0354642620504575,0.111686545160501
"result.16","16",0.11,0.129741975076036,0.0259693374049055,0.078842073762421,0.18064187638965,0.128191560168176,0.0259452349294016,0.0773388997065485,0.179044220629803,0.128046219614411,0.128167104538077,0.0259660668451283,0.0772736135216253,0.179060595554528
"result.17","17",0.11,0.13301865404368,0.0262101956749532,0.0816466705207716,0.184390637566588,0.131480471199788,0.02612618922795,0.0802731403130054,0.18268780208657,0.130493800636278,0.130320474909347,0.0261084581483691,0.0791478969385438,0.181493052880151
"result.18","18",0.11,0.0694484725124075,0.0195014177814142,0.0312256936608357,0.107671251363979,0.0698728296505207,0.0194716357369953,0.0317084236060099,0.108037235695032,0.0680708433288673,0.0688549983257775,0.0195604297358236,0.0305165560435634,0.107193440607992
"result.19","19",0.11,0.106289917852093,0.0236872527345833,0.0598629024923098,0.152716933211876,0.10694444608822,0.0236291157294161,0.0606313792585642,0.153257512917875,0.104444764670158,0.104640108052668,0.0237502689440806,0.0580895809222704,0.151190635183066
"result.20","20",0.11,0.125016372573621,0.0262114967736281,0.0736418388973094,0.176390906249932,0.124999357708632,0.0261900447213646,0.0736668700547574,0.176331845362507,0.123039212697073,0.123865454280145,0.0262160710136832,0.0724819550933261,0.175248953466964
"result.21","21",0.11,0.139180655050641,0.0269232214529156,0.0864111410029262,0.191950169098355,0.139000487657647,0.0268785125263759,0.0863186031059505,0.191682372209344,0.136911435769191,0.136435817806765,0.0268396733990594,0.0838300579446081,0.189041577668921
