"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.65474401250075,0.0474259736005436,0.561789104243684,0.747698920757815,0.658843537511605,0.0469984150533616,0.566726644007016,0.750960431016194,0.641568980153503,0.0469984150533616,0.549452086648914,0.733685873658092,0,0,0,0
"result.2","2",0.685,0.617928696822434,0.0444956972214962,0.530717130268302,0.705140263376567,0.622226877062095,0.0439847422480354,0.536016782255946,0.708436971868245,0.602866286095154,0.0439847422480354,0.516656191289005,0.689076380901304,0,0,0,0
"result.3","3",0.685,0.654029025315144,0.0468017970405285,0.562297503115708,0.745760547514579,0.658253185821017,0.0461371780045813,0.567824316932037,0.748682054709996,0.634515223171335,0.0461371780045813,0.544086354282356,0.724944092060315,0,0,0,0
"result.4","4",0.685,0.728635025486297,0.0505457895497186,0.629565277968848,0.827704773003745,0.734313567469603,0.050163255101414,0.635993587470832,0.832633547468375,0.717194917354587,0.050163255101414,0.618874937355816,0.815514897353359,0,0,0,0
"result.5","5",0.685,0.77056081067699,0.051065966778661,0.670471515790814,0.870650105563165,0.776041427116677,0.0504557494723256,0.677148158150919,0.874934696082436,0.751468916735331,0.0504557494723256,0.652575647769573,0.850362185701089,0,0,0,0
"result.6","6",0.685,0.674790521394882,0.0482981353014964,0.580126176203949,0.769454866585815,0.680123972952085,0.0476482813046276,0.586733341595014,0.773514604309155,0.65594195441439,0.0476482813046276,0.56255132305732,0.74933258577146,0,0,0,0
"result.7","7",0.685,0.699380919402028,0.0487305922671773,0.603868958558361,0.794892880245696,0.704483834017784,0.0479900755404237,0.610423285958553,0.798544382077014,0.677217650229177,0.0479900755404237,0.583157102169947,0.771278198288408,0,0,0,0
"result.8","8",0.685,0.666776872444441,0.0463284736846437,0.575973064022539,0.757580680866342,0.671211116597036,0.0456747250262802,0.581688655545527,0.760733577648545,0.646894233972578,0.0456747250262802,0.557371772921069,0.736416695024087,0,0,0,0
"result.9","9",0.685,0.68277522575956,0.0492380719451335,0.586268604747099,0.779281846772022,0.687149238561521,0.0488434238910447,0.591416127735073,0.782882349387968,0.670719756352524,0.0488434238910447,0.574986645526076,0.766452867178971,0,0,0,0
"result.10","10",0.685,0.732265595028541,0.0503012575131637,0.63367513030274,0.830856059754342,0.737751297141181,0.0498243091022328,0.640095651300805,0.835406942981558,0.718206635445579,0.0498243091022328,0.620550989605203,0.815862281285956,0,0,0,0
"result.11","11",0.685,0.722085494789258,0.049604917101944,0.624859857269448,0.819311132309068,0.727788924226673,0.0489635780064857,0.631820311333961,0.823757537119385,0.703362569982418,0.0489635780064857,0.607393957089706,0.79933118287513,0,0,0,0
"result.12","12",0.685,0.712434400560629,0.0492914868861924,0.615823086263692,0.809045714857566,0.717943753031665,0.0485148476474346,0.622854651642693,0.813032854420637,0.689173697975365,0.0485148476474346,0.594084596586393,0.784262799364337,0,0,0,0
"result.13","13",0.685,0.743894737240018,0.0494480733798441,0.646976513415523,0.840812961064512,0.7493613908503,0.0491079567148064,0.653109795689279,0.84561298601132,0.733455458099995,0.0491079567148064,0.637203862938975,0.829707053261016,0,0,0,0
