"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.1","1",0.686,0.678909990108664,0.0783377932126029,0.525367915411962,0.832452064805365,0.653233153334439,0.0783866843814612,0.499595251946775,0.806871054722102
"result.2","2",0.686,0.673695872517907,0.0789905599552076,0.5188743750057,0.828517370030113,0.665996401302029,0.080298673887613,0.508611000482308,0.82338180212175
"result.3","3",0.686,0.605267568310567,0.072684368350282,0.462806206344015,0.74772893027712,0.600910537495099,0.0775857074429038,0.448842550907008,0.752978524083191
"result.4","4",0.686,0.735101126705581,0.0813080729167078,0.575737303788833,0.894464949622328,0.70938689819549,0.0819415068752598,0.548781544719981,0.869992251670999
"result.5","5",0.686,0.688731472621796,0.083149622079133,0.525758213346696,0.851704731896897,0.687875205346761,0.0793971575851589,0.532256776479849,0.843493634213672
"result.6","6",0.686,0.573419872914885,0.0683287299667329,0.439495562180088,0.707344183649681,0.549062764352211,0.0694309024872418,0.412978195477217,0.685147333227204
"result.7","7",0.686,0.559654735374386,0.0718525801050928,0.418823678368404,0.700485792380368,0.542223387922016,0.0748309264316095,0.395554772116061,0.68889200372797
"result.8","8",0.686,0.735647862438771,0.0792992189670062,0.580221393263439,0.891074331614103,0.754337586093688,0.0807536728573652,0.596060387293252,0.912614784894124
"result.9","9",0.686,0.534957062657517,0.070130433396266,0.397501413200836,0.672412712114198,0.504655557512417,0.07294987511893,0.361673802279314,0.64763731274552
"result.10","10",0.686,0.592159123453379,0.0760073261761029,0.443184764148218,0.741133482758541,0.573871005003179,0.0762159406859627,0.424487761258692,0.723254248747666
"result.11","11",0.686,0.507887283606508,0.0673072500541203,0.375965073500432,0.639809493712584,0.524575381984563,0.0704013260211215,0.386588782983165,0.662561980985961
"result.12","12",0.686,0.724199179141616,0.078319281086079,0.570693388212901,0.877704970070331,0.712837079785679,0.0802536681527051,0.555539890206377,0.870134269364981
