"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.1","1",0.686,0.608954820859675,0.0581280551903304,0.495023832686628,0.722885809032723,0.570647034366743,0.061782292733701,0.44955374060869,0.691740328124797
"result.2","2",0.686,0.657179735073035,0.0621642682328197,0.535337769336709,0.779021700809362,0.653652684173873,0.0663776503092912,0.523552489567662,0.783752878780084
"result.3","3",0.686,0.724452207229698,0.0648839892409629,0.597279588317411,0.851624826141985,0.739286653166522,0.0692163581228225,0.60362259124579,0.874950715087254
"result.4","4",0.686,0.633721220100529,0.0627209256641175,0.510788205798859,0.7566542344022,0.607659677191875,0.0657614764949215,0.478767183261829,0.736552171121921
"result.5","5",0.686,0.698751663828697,0.0642926562362646,0.572738057605619,0.824765270051776,0.685660369736896,0.0649616064328649,0.55833562112848,0.812985118345311
"result.6","6",0.686,0.65743135357215,0.0673887901920676,0.525349324795698,0.789513382348603,0.606660545473781,0.0764877967791247,0.456744463786697,0.756576627160865
"result.7","7",0.686,0.683928266134563,0.0614923302424532,0.563403298859354,0.804453233409771,0.662017195362718,0.0625171913382006,0.539483500339845,0.784550890385591
"result.8","8",0.686,0.69604322027126,0.0653804989837106,0.567897442263187,0.824188998279333,0.684415941668814,0.0675158306528292,0.552084913589269,0.81674696974836
"result.9","9",0.686,0.645003352092338,0.0610049307272955,0.525433687866839,0.764573016317837,0.623855522700598,0.0624303774420477,0.501491982914185,0.746219062487012
"result.10","10",0.686,0.667791781614979,0.151089302192518,0.371656749317644,0.963926813912314,0.427375932534775,0.222019651372623,-0.00778258415556671,0.862534449225116
"result.11","11",0.686,0.66107915420715,0.0755803845415806,0.512941600505652,0.809216707908648,0.590422143479317,0.0716218165542863,0.450043383032916,0.730800903925718
"result.12","12",0.686,0.781841256585477,0.0695636052556677,0.645496590284368,0.918185922886585,0.713215258346615,0.0738755495830191,0.568419181163897,0.858011335529332
"result.13","13",0.686,0.813747395435496,0.0722313905044718,0.672173870046732,0.955320920824261,0.705268560063204,0.0821121844366561,0.544328678567358,0.86620844155905
"result.14","14",0.686,0.608447577715051,0.0620626972867843,0.486804691032953,0.730090464397148,0.594404561464851,0.063905948599849,0.469148902209147,0.719660220720555
"result.15","15",0.686,0.602158673910586,0.0584759895831323,0.487545734327646,0.716771613493525,0.617494496631214,0.0611702357568589,0.497600834547771,0.737388158714657
"result.16","16",0.686,0.624337746415361,0.0758714023130952,0.475629797881695,0.773045694949028,0.436498884409028,0.145620114499061,0.151083459990868,0.721914308827187
"result.17","17",0.686,0.678955069307962,0.0634718253414049,0.554550291638808,0.803359846977115,0.661070904292298,0.0647823421378958,0.534097513702022,0.788044294882573
