"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.717823467847498,0.0507218072820476,0.618408725574685,0.817238210120311,0.714433247019692,0.0501402841093411,0.616158290165383,0.812708203874,0.713314891349423
"result.2","2",0.686,0.675449343097552,0.0474053154162569,0.582534924881689,0.768363761313416,0.674371654761934,0.0472295991173682,0.581801640491892,0.766941669031976,0.676896625156882
"result.3","3",0.686,0.679156698281294,0.0482402892656538,0.584605731320612,0.773707665241975,0.678765647122482,0.0480107069726105,0.584664661456166,0.772866632788799,0.679795614522803
"result.4","4",0.686,0.775405884449577,0.0534329174339166,0.670677366279101,0.880134402620054,0.775153532269802,0.0535066836004647,0.670280432412892,0.880026632126713,0.775186617482145
"result.5","5",0.686,0.628419790202555,0.0485357131945922,0.533289792341154,0.723549788063956,0.62535635249715,0.0483317397100113,0.530626142665528,0.720086562328773,0.62541498653886
"result.6","6",0.686,0.63307949949089,0.0465643482363288,0.541813376947685,0.724345622034094,0.623232761304929,0.0456979986394558,0.533664683971596,0.712800838638262,0.623240802430458
"result.7","7",0.686,0.729534731412359,0.0510325010958529,0.629511029264487,0.829558433560231,0.721333932583323,0.0505531338197962,0.622249790296522,0.820418074870123,0.721257414666444
"result.8","8",0.686,0.753966462469882,0.0506339457187748,0.654723928861083,0.853208996078681,0.744155100749329,0.0508001630611318,0.644586781149511,0.843723420349148,0.764232763562869
"result.9","9",0.686,0.757667494047733,0.0527060993557148,0.654363539310532,0.860971448784934,0.746319044105171,0.0511912119236451,0.645984268734827,0.846653819475516,0.760179845188999
"result.10","10",0.686,0.66927408795403,0.0506387403603626,0.570022156847719,0.76852601906034,0.666282972905158,0.0502248580201157,0.567842251185731,0.764723694624585,0.674679679556768
"result.11","11",0.686,0.627199231496725,0.0497199879386565,0.529748055136958,0.724650407856492,0.627666891159981,0.047281767348402,0.534994627157113,0.720339155162849,0.627740449269634
"result.12","12",0.686,0.660320709008596,0.0516716228275204,0.559044328266656,0.761597089750536,0.657956271235438,0.050427815186436,0.559117753470024,0.756794789000853,0.658145869307265
"result.13","13",0.686,0.707406855265503,0.0503906249373603,0.608641230388277,0.806172480142729,0.704305797189787,0.049883595932603,0.606533949161885,0.802077645217689,0.704494573017424
"result.14","14",0.686,0.655334671587511,0.047857590283691,0.561533794631477,0.749135548543545,0.652313578785333,0.0475877705004931,0.559041548604367,0.7455856089663,0.656345350002154
"result.15","15",0.686,0.77648867123557,0.0538427286448354,0.670956923091693,0.882020419379448,0.774762312896064,0.0534060201271962,0.67008651344676,0.879438112345369,0.77824859739776
"result.16","16",0.686,0.784048538820623,0.0533464052349923,0.679489584560038,0.888607493081208,0.779997607251218,0.0526511153053404,0.676801421252751,0.883193793249685,0.779493810834349
"result.17","17",0.686,0.665311719622413,0.0509273927091465,0.565494029912486,0.76512940933234,0.660778763843999,0.0495151127587297,0.563729142836889,0.75782838485111,0.665129028721587
"result.18","18",0.686,0.735431853942801,0.0525950423665234,0.632345570904415,0.838518136981187,0.723033216410632,0.0512636990671165,0.622556366239084,0.82351006658218,0.722978683051522
"result.19","19",0.686,0.721816921374079,0.0496255541796487,0.624550835181967,0.81908300756619,0.715669592412352,0.0492933404398522,0.619054645150242,0.812284539674463,0.731677356761631
"result.20","20",0.686,0.745190595068223,0.052552170412353,0.642188341060012,0.848192849076435,0.730975201874646,0.0522132294475784,0.628637272157393,0.8333131315919,0.739049080945647
"result.21","21",0.686,0.751447095283293,0.053301941596306,0.646975289754533,0.855918900812053,0.74242982356276,0.0525949979194046,0.639343627640727,0.845516019484793,0.742419019630299
"result.22","22",0.686,0.677726956457332,0.0487581591128936,0.582160964596061,0.773292948318604,0.677511592698987,0.0484524311937429,0.582544827559251,0.772478357838723,0.67788715727494
"result.23","23",0.686,0.683290982963425,0.0490557863904953,0.587141641638054,0.779440324288796,0.678409565997269,0.0485796864927435,0.583193380471492,0.773625751523047,0.677712379224999
"result.24","24",0.686,0.700217700622492,0.0499038125733383,0.602406227978749,0.798029173266235,0.699627001474739,0.0497541976814496,0.602108774019097,0.79714522893038,0.699645706929196
"result.25","25",0.686,0.594436182588271,0.0451663673022148,0.50591010267593,0.682962262500612,0.590819330498808,0.044629235172047,0.503346029561596,0.67829263143602,0.598619131471613
"result.26","26",0.686,0.704844061027172,0.0500951473655695,0.606657572190655,0.803030549863688,0.70252688886979,0.0494762434660528,0.605553451676326,0.799500326063253,0.706335819460126
"result.27","27",0.686,0.685790467957502,0.0496724263700391,0.588432512272225,0.783148423642778,0.68361712859426,0.0498287787034456,0.585952722335506,0.781281534853013,0.69421558664432
"result.28","28",0.686,0.668470593449813,0.049179837498729,0.572078111952304,0.764863074947321,0.659486372571546,0.0500351495086104,0.56141747953467,0.757555265608423,0.699141064167984
"result.29","29",0.686,0.661266365862867,0.0481740392031148,0.566845249024762,0.755687482700972,0.658331342698667,0.0473423159550633,0.565540403426743,0.751122281970591,0.665753221456316
"result.30","30",0.686,0.614677458943511,0.0512590697734447,0.514209682187559,0.715145235699462,0.5861466194847,0.0466068165582962,0.49479725903044,0.677495979938961,0.586165440824868
"result.31","31",0.686,0.792280332395902,0.0524825729024451,0.68941448950711,0.895146175284694,0.783615882998729,0.0506894777167325,0.684264506673934,0.882967259323525,0.783375236149409
"result.32","32",0.686,0.640623074132464,0.0540558162720853,0.534673674239177,0.746572474025752,0.622555717533548,0.0508727536536793,0.522845120372337,0.72226631469476,0.651500492124557
"result.33","33",0.686,0.767456325487134,0.0556511312327593,0.658380108270926,0.876532542703342,0.768168406845344,0.0532891379444695,0.663721696474184,0.872615117216504,0.770198503669883
"result.34","34",0.686,0.665050562324461,0.0514161980951536,0.56427481405796,0.765826310590962,0.662138641295006,0.0504756462475365,0.563206374649835,0.761070907940178,0.66629830059469
"result.35","35",0.686,0.636498373965822,0.0504618074527795,0.537593231358374,0.73540351657327,0.614682433627635,0.0452989095370831,0.525896570934952,0.703468296320318,0.614791867420336
"result.36","36",0.686,0.805253901312769,0.0664728327986433,0.674967149027428,0.935540653598109,0.798560663243139,0.0644587693352205,0.672221475346106,0.924899851140171,0.797846145704831
"result.37","37",0.686,0.63116958802629,0.045711222204424,0.541575592505619,0.720763583546961,0.629601738195066,0.0450784691754952,0.541247938611096,0.717955537779037,0.630075135263429
"result.38","38",0.686,0.669894729071203,0.0488287498738314,0.574190379318493,0.765599078823912,0.660648506580733,0.0484927992019033,0.565602620145002,0.755694393016463,0.660648561065661
"result.39","39",0.686,0.676690882977349,0.0489031633391115,0.58084068283269,0.772541083122007,0.675799550119133,0.0486768565345711,0.580392911311374,0.771206188926893,0.677198198306575
"result.40","40",0.686,0.721075297126479,0.051250101069848,0.620625099029577,0.821525495223381,0.714935029091461,0.0510200612596123,0.614935709022621,0.814934349160301,0.72106788060562
"result.41","41",0.686,0.678081077104747,0.0494352126107307,0.581188060387715,0.77497409382178,0.67763122289432,0.0481008807138713,0.583353496695132,0.771908949093508,0.701696468646602
"result.42","42",0.686,0.658381526374734,0.0481337329788867,0.564039409736116,0.752723643013351,0.656332088726066,0.048089598768934,0.562076475138955,0.750587702313177,0.65633248612978
"result.43","43",0.686,0.704683824693129,0.0498993408573254,0.606881116612772,0.802486532773487,0.703292541229415,0.0499772517850867,0.605337127730645,0.801247954728185,0.704170035924213
"result.44","44",0.686,0.660597441335,0.0468701252885355,0.568731995769471,0.75246288690053,0.658764955103622,0.0465210467475801,0.567583703478365,0.749946206728879,0.659101588370231
"result.45","45",0.686,0.626821170492722,0.0476654135710079,0.533396959893546,0.720245381091897,0.625918646879449,0.0468277013349365,0.534136352262974,0.717700941495925,0.63559024053867
"result.46","46",0.686,0.652618698047282,0.0520076386678129,0.550683726258368,0.754553669836195,0.649631244678646,0.0514701849532494,0.548749682170277,0.750512807187015,0.663799382863278
"result.47","47",0.686,0.659042112434122,0.0478542189893977,0.565247843214902,0.752836381653341,0.657301435232175,0.0478221843687014,0.563569953869521,0.75103291659483,0.657979907971128
"result.48","48",0.686,0.677908663764442,0.0479928895957185,0.583842600156834,0.77197472737205,0.674618711819795,0.0475612041301126,0.581398751724774,0.767838671914815,0.675085495692552
"result.49","49",0.686,0.739099178882121,0.0549208625119425,0.631454288358714,0.846744069405528,0.739658351511699,0.0533203284228326,0.635150507802947,0.84416619522045,0.749341672570301
"result.50","50",0.686,0.742069649553295,0.0537823552879118,0.636656233188988,0.847483065917602,0.719456514368548,0.0506899214470853,0.62010426833226,0.818808760404835,0.71949472026214
"result.51","51",0.686,0.706697647868884,0.0538986359156918,0.601056321474129,0.81233897426364,0.689372120892756,0.0489331410323359,0.593463164469378,0.785281077316135,0.689068574401578
"result.52","52",0.686,0.750579976181926,0.053918900506866,0.644898931188468,0.856261021175383,0.741696628019207,0.0529159446228159,0.637981376558488,0.845411879479926,0.746668799113049
"result.53","53",0.686,0.731947892705774,0.0514691003609373,0.631068455998336,0.832827329413211,0.728886164185859,0.0508124654473328,0.629293731909087,0.828478596462631,0.72885278661426
"result.54","54",0.686,0.717606190251473,0.0503684995377345,0.618883931157514,0.816328449345433,0.716889706757214,0.0502106879110229,0.618476758451609,0.815302655062819,0.716890233376454
"result.55","55",0.686,0.698232117255525,0.0511553074365119,0.597967714679961,0.798496519831088,0.692017914164053,0.050785228205518,0.592478866881238,0.791556961446868,0.692054718060443
"result.56","56",0.686,0.605719024105701,0.0453470160896362,0.516838872570014,0.694599175641388,0.602341703080198,0.0454098673241804,0.513338363124805,0.691345043035592,0.612481812207994
"result.57","57",0.686,0.782404160712771,0.0728588053526395,0.639600902221597,0.925207419203944,0.778136139491057,0.0962599362380712,0.589466664464438,0.966805614517677,0.777462602361429
"result.58","58",0.686,0.704630475699202,0.0499173401941367,0.606792488918695,0.80246846247971,0.701828602151351,0.050069752888463,0.603691886489963,0.799965317812738,0.706925856737818
"result.59","59",0.686,0.697116086325531,0.0543770381048075,0.590537091640108,0.803695081010954,0.694564284810845,0.0524477751054852,0.591766645604094,0.797361924017596,0.714868632983574
"result.60","60",0.686,0.649889527677759,0.0479507136215999,0.555906128979423,0.743872926376095,0.648626791631536,0.0479212169670333,0.554701206376151,0.742552376886921,0.64877768116044
"result.61","61",0.686,0.631030933847264,0.046436717834589,0.54001496689147,0.722046900803059,0.62882202595806,0.0469594627710251,0.53678147892685,0.720862572989269,0.640200058209514
"result.62","62",0.686,0.742454781460519,0.0525405879670306,0.639475229045139,0.845434333875899,0.740326740533645,0.0522528030254957,0.637911246603673,0.842742234463616,0.736062370968169
"result.63","63",0.686,0.751009120453601,0.0533531730988814,0.646436901179794,0.855581339727409,0.751650775935857,0.0525355154074317,0.648681165737291,0.854620386134424,0.752151711216493
"result.64","64",0.686,0.741777398641308,0.0520653630772677,0.639729287009864,0.843825510272753,0.738211857264763,0.0527508140426739,0.634820261741122,0.841603452788404,0.76215966213946
"result.65","65",0.686,0.715005284450569,0.049587797405826,0.617813201535151,0.812197367365988,0.70209886060602,0.048877927750708,0.606298122214633,0.797899598997408,0.702210532818186
"result.66","66",0.686,0.61104017292853,0.0467205881169241,0.519467820219359,0.702612525637701,0.610978599899521,0.0467508690521838,0.519346896557241,0.702610303241801,0.617310109665041
"result.67","67",0.686,0.707663640876704,0.0516144964806026,0.606499227774723,0.808828053978686,0.705175993752592,0.0509537439419957,0.60530665562628,0.805045331878904,0.721519807309307
"result.68","68",0.686,0.689251208696663,0.0511131918110644,0.589069352746977,0.789433064646349,0.687838800575598,0.0497130090326412,0.590401302871621,0.785276298279575,0.681070878048846
"result.69","69",0.686,0.718576406131539,0.0516615937588161,0.617319682364259,0.819833129898819,0.713465013983481,0.0516637216256192,0.612204119597267,0.814725908369695,0.721051435679823
"result.70","70",0.686,0.678386945210537,0.0480125247626125,0.584282396675816,0.772491493745257,0.678527433579577,0.0477097530035956,0.585016317692529,0.772038549466624,0.678411733843911
"result.71","71",0.686,0.819972972230234,0.052466147061416,0.717139323989858,0.922806620470609,0.81624997905335,0.0527320633433293,0.712895134900425,0.919604823206276,0.816249652105498
"result.72","72",0.686,0.893365493429388,0.142641059188034,0.613789017420841,1.17294196943793,0.891631668123736,0.168139362196879,0.562078518217854,1.22118481802962,0.899122558370141
"result.73","73",0.686,0.660123950566618,0.0517020294833772,0.558787972779198,0.761459928354037,0.655071566620052,0.0500814614969061,0.556911902086116,0.753231231153988,0.669049536804342
"result.74","74",0.686,0.73615127758352,0.0484703086549197,0.641149472619878,0.831153082547163,0.731398301921603,0.0480837351452136,0.637154181036985,0.825642422806222,0.732809136210904
"result.75","75",0.686,0.98524729224098,0.179242281027031,0.633932421428,1.33656216305396,1.00801829166585,0.174642303680545,0.66571937645198,1.35031720687972,0.924782944244264
"result.76","76",0.686,0.768471977668255,0.0532969093332358,0.664010035375113,0.872933919961398,0.767784031850189,0.0527948779138309,0.66430607113908,0.871261992561297,0.768824804024973
"result.77","77",0.686,0.71284644867303,0.0500072480402761,0.614832242514089,0.810860654831971,0.71099404614574,0.0497339953706658,0.613515415219235,0.808472677072245,0.711914878443968
"result.78","78",0.686,0.776163803500426,0.0517883289809765,0.674658678697713,0.87766892830314,0.774990338156756,0.0516988980995706,0.673660497881598,0.876320178431914,0.779643044460146
