"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.681308194547599,0.162407004125569,0.362990466461485,0.999625922633714,0.687048170763313,0.163880510136703,0.365842370895376,1.00825397063125,0.727530186482842
"result.2","2",0.686,1.02350616893997,0.195448244309444,0.640427610093462,1.40658472778648,1.03764512248688,0.192095841103751,0.66113727392353,1.41415297105023,1.01846478242881
"result.3","3",0.686,1.0440317942175,0.196945315114324,0.658018976593427,1.43004461184158,1.12114893909304,0.20776668905583,0.713926228543611,1.52837164964247,1.15939744318044
"result.4","4",0.686,0.797623395853009,0.171623196817956,0.461241930089814,1.1340048616162,0.82905669539273,0.169288219088374,0.497251785979516,1.16086160480594,0.83148534552558
"result.5","5",0.686,1.28091919333254,0.21409052325061,0.861301767761344,1.70053661890374,1.23383897897653,0.191902406069187,0.857710263080919,1.60996769487213,1.18184810558623
"result.6","6",0.686,0.559171928094029,0.134195767034085,0.296148224707222,0.822195631480836,0.556743907694086,0.133400576368057,0.295278778012693,0.818209037375478,0.558213647587055
"result.7","7",0.686,0.805493966549282,0.147301832884394,0.516782374095869,1.0942055590027,0.786764628137658,0.13972813946648,0.512897474783358,1.06063178149196,0.806496543421544
"result.8","8",0.686,0.860271285358217,0.214233707472634,0.440373218711854,1.28016935200458,0.922624136622482,0.208526889949117,0.513911432322213,1.33133684092275,0.996041497673176
"result.9","9",0.686,0.828230700314494,0.19462581057768,0.446764111582241,1.20969728904675,0.829343102041536,0.189022257069126,0.458859478186049,1.19982672589702,0.828701321093713
"result.10","10",0.686,0.534741207694842,0.122423396525747,0.294791350504378,0.774691064885306,0.544209730735815,0.120801946300406,0.307437915987021,0.78098154548461,0.533032573356915
"result.11","11",0.686,0.69730890351756,0.164934472806215,0.374037336817377,1.02058047021774,0.706867627569992,0.16425324660793,0.384931264218449,1.02880399092153,0.698065498916053
"result.12","12",0.686,0.659926292998731,0.201869611453029,0.264261854550794,1.05559073144667,0.717926021790051,0.174420797834238,0.376061258034946,1.05979078554516,0.760930779199422
"result.13","13",0.686,0.944882481853493,0.196375670884007,0.559986166920839,1.32977879678615,0.951810373023512,0.197635567749425,0.56444466023464,1.33917608581238,0.94563884159431
"result.14","14",0.686,0.601657455227356,0.152857565089894,0.302056627651164,0.901258282803548,0.605099121019465,0.148159567228867,0.314706369250885,0.895491872788045,0.606062502934109
"result.15","15",0.686,0.801481331843327,0.171206555977817,0.465916482126806,1.13704618155985,0.794634706107025,0.166042597383644,0.469191215235083,1.12007819697897,0.799570428308104
"result.16","16",0.686,0.538161765475422,0.126595076970269,0.290035414613695,0.786288116337149,0.538736772030558,0.123384820393781,0.296902524058746,0.780571020002369,0.538658528757793
"result.17","17",0.686,61.547878092843,33.7195409390123,-4.54242214762115,127.638178333307,4.93556795743829,3.8826215056324,-2.67437019360121,12.5455061084778,4.74775335034636
"result.18","18",0.686,0.782653592115153,0.197458218120489,0.395635484598994,1.16967169963131,0.81204835119615,0.185534603052371,0.448400529213502,1.1756961731788,0.708216231375864
"result.19","19",0.686,0.781985455952952,0.1512539798256,0.485527655494777,1.07844325641113,0.781618496473013,0.148975688625609,0.489626146766818,1.07361084617921,0.78325474451781
"result.20","20",0.686,0.655217081423622,0.963605644018282,-1.23344998085221,2.54388414369946,1.54897845888896,0.664995807818227,0.245586675565231,2.85237024221268,2.14798471263287
"result.21","21",0.686,0.646435878040918,0.134133983393668,0.383533270589328,0.909338485492508,0.637386887115602,0.131895970067272,0.378870785783749,0.895902988447455,0.645815491699969
"result.22","22",0.686,0.647497938911966,0.141223073691691,0.370700714476251,0.92429516334768,0.647524557055845,0.139739834680151,0.373634481082749,0.921414633028941,0.646336565880524
"result.23","23",0.686,0.665490448669894,0.156466180042315,0.358816735786956,0.972164161552831,0.686066435148658,0.141062345889469,0.4095842372053,0.962548633092017,0.655976998737246
"result.24","24",0.686,0.597125065666051,0.156578835948267,0.290230547207448,0.904019584124653,0.630989753687172,0.163433426780995,0.310660237196421,0.951319270177923,0.720821857364372
"result.25","25",0.686,0.685309069280965,0.151660759068165,0.388053981507361,0.982564157054568,0.679816567744543,0.144567883495673,0.396463516093025,0.963169619396062,0.684213291558142
"result.26","26",0.686,0.752267250439276,0.179889993305369,0.399682863560752,1.1048516373178,0.705154889463248,0.166816643171123,0.378194268847847,1.03211551007865,0.703367069457502
"result.27","27",0.686,0.647130218504089,0.163547270854024,0.326577567630203,0.967682869377976,0.634461523343216,0.150566615590046,0.339350956786726,0.929572089899707,0.648355995822937
"result.28","28",0.686,0.797476023683682,0.150096314704487,0.503287246862887,1.09166480050448,0.800890403741555,0.148352259768336,0.510119974595616,1.09166083288749,0.796459143309812
"result.29","29",0.686,0.70035424439563,0.199648923150255,0.30904235502113,1.09166613377013,0.694625051574993,0.196675318592696,0.30914142713331,1.08010867601668,0.701639471582132
"result.30","30",0.686,0.588444741615358,0.138923899069806,0.316153899438537,0.860735583792178,0.584418813341389,0.137382033944352,0.315150026810458,0.853687599872319,0.584223203310889
"result.31","31",0.686,0.786293182123395,0.215150492989575,0.364598215863828,1.20798814838296,0.802699557152579,0.193520633495169,0.423399115502048,1.18199999880311,0.787123963776348
"result.32","32",0.686,0.86371093543522,0.177956681450558,0.514915839792127,1.21250603107831,0.850725216021195,0.175597745308139,0.506553635217242,1.19489679682515,0.864818807041391
"result.33","33",0.686,0.783835273133036,0.176413271366566,0.438065261254566,1.12960528501151,0.783179736232585,0.174485277064113,0.441188593186923,1.12517087927825,0.783222565480644
"result.34","34",0.686,0.553222741934234,0.139007054418798,0.280768915273391,0.825676568595078,0.555353494512136,0.138031355442307,0.284812037845213,0.825894951179058,0.554055249478659
"result.35","35",0.686,0.754987755464003,0.161693742025751,0.43806802109353,1.07190748983447,0.757554508727338,0.159795933661074,0.444354478751634,1.07075453870304,0.755579356445742
"result.36","36",0.686,0.51953510053299,0.10789591938324,0.308059098541841,0.73101110252414,0.521816385176447,0.106218722109897,0.313627689841049,0.730005080511845,0.518552292340221
"result.37","37",0.686,1.05130307539407,0.27699795893284,0.508387075885702,1.59421907490244,0.885695324671724,0.220664127865507,0.45319363405533,1.31819701528812,0.884242435617891
"result.38","38",0.686,1.09541021842494,0.349026205314794,0.411318856007941,1.77950158084193,1.08801561927288,0.257698058179579,0.5829274252409,1.59310381330485,1.09671504002964
"result.39","39",0.686,0.707273754594804,0.152223444857827,0.408915802673463,1.00563170651615,0.674425611290715,0.13853289096129,0.402901145006587,0.945950077574843,0.708240145434984
"result.40","40",0.686,0.959764683500171,0.170564563097209,0.625458139829641,1.2940712271707,0.984409087118052,0.164569278629539,0.661853301004156,1.30696487323195,0.958340640821592
"result.41","41",0.686,0.683475313495248,0.157297042642982,0.375173109915003,0.991777517075494,0.68158977157101,0.155274502286549,0.377251747089374,0.985927796052645,0.684654127869522
"result.42","42",0.686,0.508324795060368,0.113149722749791,0.286551338470778,0.730098251649958,0.510418756378956,0.111601673083118,0.291679477136045,0.729158035621867,0.51322870460031
"result.43","43",0.686,0.80951136913712,0.176373916407381,0.463818492978654,1.15520424529559,0.806558435715496,0.174265041541164,0.464998954294815,1.14811791713618,0.808894191530749
"result.44","44",0.686,0.526617207580355,0.138024522818599,0.256089142855901,0.797145272304809,0.532143709206298,0.13360475241913,0.270278394464803,0.794009023947792,0.524584059056791
"result.45","45",0.686,0.683593941048162,0.161409310881917,0.367231691719604,0.99995619037672,0.691226383625713,0.160999005668188,0.375668332516065,1.00678443473536,0.683972349475408
"result.46","46",0.686,0.413943135095201,0.110869795288238,0.196638336330256,0.631247933860147,0.411596477236626,0.109015690910415,0.197925723052212,0.62526723142104,0.413427058483759
"result.47","47",0.686,1.20175100832728,0.245186735136141,0.721185007460442,1.68231700919412,1.20667635841011,0.218930051053688,0.777573458344884,1.63577925847534,1.20199369411192
"result.48","48",0.686,0.788792022618683,0.162358310095033,0.470569734832419,1.10701431040495,0.792451295423782,0.159495678054477,0.479839766437008,1.10506282441056,0.787597164018562
"result.49","49",0.686,0.928413509991786,0.193500654995384,0.549152226200833,1.30767479378274,0.980827348229596,0.193964058349393,0.600657793864786,1.36099690259441,1.00650493611648
