"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.616064745035652,0.0459755263263821,0.525952713435943,0.706176776635361,0.616759243571078,0.0463070229397666,0.525997478609136,0.707521008533021,0.630504024792313
"result.2","2",0.686,0.673776811673606,0.0478047234216561,0.58007955376716,0.767474069580051,0.673102093731147,0.0491891313678368,0.576691396250187,0.769512791212107,0.716181678595823
"result.3","3",0.686,0.630750291686963,0.0480787914385079,0.536515860467487,0.724984722906438,0.62799288142152,0.0486859676628165,0.5325683848024,0.72341737804064,0.645094882018407
"result.4","4",0.686,0.620922517836403,0.0480276191097337,0.526788384381325,0.715056651291481,0.62218615683617,0.0478435275685868,0.52841284280174,0.7159594708706,0.618053496988127
"result.5","5",0.686,0.696418336665634,0.0492033677267717,0.599979735921162,0.792856937410107,0.696068896652787,0.049548849210902,0.59895315219942,0.793184641106155,0.714922931120277
"result.6","6",0.686,0.718178114637175,0.0499185587610847,0.620337739465449,0.816018489808901,0.71312316466418,0.0502516076301979,0.614630013708993,0.811616315619368,0.724374137447955
"result.7","7",0.686,0.653235638124263,0.0489716106827746,0.557251281186024,0.749219995062501,0.649136290083171,0.049513039341689,0.552090732973461,0.746181847192882,0.668115792182762
"result.8","8",0.686,0.718994630266783,0.0520646116670918,0.616947991399283,0.821041269134283,0.715014036512358,0.0541047031044153,0.608968818427704,0.821059254597012,0.776024642964841
"result.9","9",0.686,0.66945740773338,0.0502966166030445,0.570876039191412,0.768038776275347,0.667074769911639,0.0512251607193171,0.566673454901777,0.7674760849215,0.688257354322455
"result.10","10",0.686,0.599633644543481,0.0466676068077255,0.508165135200339,0.691102153886623,0.59381726274931,0.0478959119723387,0.499941275283526,0.687693250215093,0.62968416298293
"result.11","11",0.686,0.591399852158655,0.0475335944838364,0.498234006970336,0.684565697346975,0.581788854401099,0.0491655459275675,0.485424384383066,0.678153324419131,0.625933241846299
