"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.676981497223684,0.0351059489850322,0.60817383721302,0.745789157234347,0.678164661389632,0.0352341215779825,0.609105783096787,0.747223539682478,0.682276548456214
"result.2","2",0.686,0.622450967191871,0.0326313473322573,0.558493526420646,0.686408407963095,0.623315939204551,0.0327505867408183,0.559124789192547,0.687507089216555,0.627134034496521
"result.3","3",0.686,0.656613262699644,0.033936562503129,0.590097600193511,0.723128925205777,0.654163220456719,0.0350506002110413,0.585464044043078,0.72286239687036,0.703107822494632
"result.4","4",0.686,0.676994396801949,0.0341347181404581,0.610090349246651,0.743898444357246,0.678424764234241,0.0340121332411762,0.611760983081536,0.745088545386946,0.671982722573955
"result.5","5",0.686,0.656109286403951,0.0333390963720965,0.590764657514642,0.72145391529326,0.652794383573266,0.0346512400659294,0.584877953044045,0.720710814102488,0.711766445828654
"result.6","6",0.686,0.650125855697374,0.0342983646768397,0.582901060930768,0.71735065046398,0.646580949443805,0.0345483194275447,0.578866243365817,0.714295655521792,0.660181904413133
"result.7","7",0.686,0.735849779615459,0.0361992375302882,0.664899274056095,0.806800285174824,0.733441854005505,0.0361993344820055,0.662491158420775,0.804392549590236,0.73581904730148
"result.8","8",0.686,0.71093039993731,0.0358952442436595,0.640575721219738,0.781285078654883,0.710841957836048,0.0368249338321976,0.638665087524941,0.783018828147156,0.751351326769341
"result.9","9",0.686,0.720401979226493,0.0355759907014441,0.650673037451662,0.790130921001323,0.718255069654538,0.0371353165031621,0.645469849308341,0.791040290000736,0.787653780845843
"result.10","10",0.686,0.700806599394022,0.0357764404072376,0.630684776195837,0.770928422592208,0.697456722477921,0.0365533045065971,0.625812245644991,0.769101199310851,0.733923587417649
"result.11","11",0.686,0.649744450898936,0.0338064986703948,0.583483713504962,0.71600518829291,0.647872171905923,0.0345414982004322,0.580170835433076,0.71557350837877,0.679664923865613
"result.12","12",0.686,0.664303328386628,0.0341564542288344,0.597356678098112,0.731249978675144,0.657719053983876,0.0359282787637619,0.587299627606903,0.72813848036085,0.737433599730759
"result.13","13",0.686,0.644606974021285,0.0340224266866972,0.577923017715359,0.711290930327212,0.643977350173456,0.0339015735386093,0.577530266037782,0.71042443430913,0.63979469057837
"result.14","14",0.686,0.694442443991294,0.0357957131680585,0.624282846181899,0.764602041800689,0.692796808789434,0.0369607406967693,0.620353757023767,0.765239860555102,0.744094196408602
"result.15","15",0.686,0.718144940875564,0.0356090577544198,0.648351187676902,0.787938694074227,0.719436917270927,0.0354825626624675,0.64989109445249,0.788982740089363,0.712651718457989
"result.16","16",0.686,0.666845001251122,0.034735152840443,0.598764101683854,0.734925900818391,0.666593717657385,0.0356313345686224,0.596756301902885,0.736431133411885,0.703477913640794
"result.17","17",0.686,0.71724003547918,0.0355489736357841,0.647564047153043,0.786916023805317,0.716395488526371,0.0357996768435766,0.646228121912961,0.786562855139781,0.728703793318542
"result.18","18",0.686,0.645737288506092,0.0334928889283165,0.580091226206592,0.711383350805593,0.646742374633685,0.0336111536012026,0.580864513575327,0.712620235692042,0.650785829760657
"result.19","19",0.686,0.683530223574415,0.0355519171631093,0.61384846593472,0.753211981214109,0.684843960560102,0.036065381896924,0.614155812042131,0.755532109078073,0.705633760141097
"result.20","20",0.686,0.664305586871515,0.0335933144996002,0.598462690452299,0.730148483290731,0.662817937552068,0.0329939043631757,0.598149885000244,0.727485990103893,0.638902769257517
"result.21","21",0.686,0.697875126034949,0.0354443457439981,0.628404208376713,0.767346043693185,0.697069754648897,0.0357042704755757,0.627089384516769,0.767050124781026,0.708766692369267
"result.22","22",0.686,0.689906467575625,0.0354938748429481,0.620338472883446,0.759474462267803,0.690017933372232,0.0368064088047067,0.617877372115007,0.762158494629458,0.744675332348452
"result.23","23",0.686,0.617778968809577,0.0327676851702582,0.553554305875871,0.682003631743283,0.619543894124927,0.0326506989019493,0.555548524277106,0.683539263972747,0.613070125518272
"result.24","24",0.686,0.683733675803375,0.0346560466607249,0.615807824348354,0.751659527258395,0.684964901128943,0.0346561584656741,0.617038830536222,0.752890971721664,0.683703739267999
"result.25","25",0.686,0.678728179996714,0.0351214109790417,0.609890214477792,0.747566145515635,0.675672908407899,0.035251820453584,0.606579340318874,0.744766476496924,0.684036108765544
"result.26","26",0.686,0.702038958102364,0.0354334151747887,0.632589464359778,0.77148845184495,0.702559987549131,0.0356889065650951,0.632609730681545,0.772510244416717,0.713167189495074
"result.27","27",0.686,0.699078038774734,0.0352462127376949,0.629995461808852,0.768160615740616,0.69624968598127,0.0363975125770762,0.6249105613302,0.767588810632339,0.748546192145819
"result.28","28",0.686,0.628521695974694,0.0331184518272157,0.563609530393352,0.693433861556037,0.626623085415329,0.0339532097505727,0.560074794304207,0.693171376526452,0.663076303113931
"result.29","29",0.686,0.670482410072826,0.0347118979186475,0.602447090152277,0.738517729993375,0.66795641489377,0.0347120025161767,0.599920889962064,0.735991939825477,0.670453571560059
"result.30","30",0.686,0.759088620509975,0.0355624264061695,0.689386264753883,0.828790976266067,0.760191971940517,0.0358138822116178,0.689996762805746,0.830387181075288,0.770191255400769
"result.31","31",0.686,0.686343939929238,0.0344361983310907,0.6188489912003,0.753838888658176,0.684595309480353,0.0341966731514693,0.617569830103473,0.751620788857232,0.675942380670237
"result.32","32",0.686,0.680692371404503,0.0340328066637208,0.613988070343611,0.747396672465396,0.682777972863087,0.0341544402805082,0.61583526991329,0.749720675812883,0.685807958047597
"result.33","33",0.686,0.663497415501927,0.0335788004699321,0.59768296658086,0.729311864422994,0.661445059516598,0.0339424282184673,0.594917900208402,0.727972218824793,0.67882646729199
"result.34","34",0.686,0.715382916370229,0.0348154398216356,0.647144654319824,0.783621178420635,0.71452592825829,0.0348155489906795,0.646287452236558,0.782764404280021,0.715353433641863
"result.35","35",0.686,0.660265164201229,0.0338652769224533,0.593889221433221,0.726641106969238,0.661319253841371,0.0339876975836768,0.594703366577365,0.727935141105378,0.665318061701345
"result.36","36",0.686,0.65864797007713,0.0334116438932974,0.593161148046267,0.724134792107993,0.657085154965101,0.0330520644653575,0.592303108613,0.721867201317201,0.643670719590912
"result.37","37",0.686,0.655812783327762,0.0344162064464004,0.588357018692817,0.723268547962707,0.655149395604388,0.0350655103970918,0.586420995226088,0.723877795982688,0.68150493781836
"result.38","38",0.686,0.622953553452552,0.0324643237187631,0.559323478963777,0.686583627941328,0.621010213620559,0.0323473431480472,0.557609421050386,0.684411006190731,0.618449043848469
"result.39","39",0.686,0.663564561592456,0.0351905180074436,0.594591146297866,0.732537976887045,0.661480071156033,0.0354508719017193,0.591996362228664,0.730963780083403,0.674288419250631
"result.40","40",0.686,0.722536687858804,0.0358863460756415,0.652199449550547,0.792873926167061,0.718047303478586,0.0367947709835442,0.645929552350839,0.790165054606333,0.760734870394338
"result.41","41",0.686,0.624254448007402,0.0333073605314978,0.558972021365666,0.689536874649137,0.620948106506624,0.0336744552259784,0.554946174263706,0.686950038749541,0.638848554202121
"result.42","42",0.686,0.654202576044764,0.0334551198219131,0.588630541193815,0.719774610895714,0.65541729216189,0.0334552152259878,0.589845070318954,0.720989514004826,0.654171986367992
"result.43","43",0.686,0.633586269177781,0.0333958192031504,0.568130463539606,0.699042074815956,0.635196755692189,0.0336386612457195,0.569264979650579,0.701128531733799,0.643673483393427
"result.44","44",0.686,0.709781993655601,0.0355517591084931,0.640100545802955,0.779463441508247,0.709715220026752,0.0360715201534567,0.639015040525977,0.780415399527527,0.732336522976268
"result.45","45",0.686,0.690880673186578,0.0346810852281104,0.622905746139482,0.758855600233674,0.691928352968336,0.0355659336450567,0.622219123024024,0.761637582912647,0.729378827731
"result.46","46",0.686,0.706052760355146,0.0343322405448804,0.638761568887181,0.773343951823112,0.709390402882685,0.0338415179497549,0.643061027701165,0.775719778064205,0.685721487715919
"result.47","47",0.686,0.728922530554798,0.0358798902180037,0.658597945727511,0.799247115382085,0.727844177093252,0.0369472287326423,0.655427608777273,0.800260745409231,0.774647114968021
