"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.413067077837562,0.22986177977219,-0.0374620105159316,0.863596166191055,0.383837901480354,0.277945410420352,-0.160935102943535,0.928610905904243,0.682711346836418
"result.2","2",0.686,1.02560322068093,1.63820827778991,-2.18528500378731,4.23649144514916,-1.37533417032633,1.34172009799211,-4.00510556239087,1.25443722173821,1.28954049815887
"result.3","3",0.686,0.774675221408426,0.380838830538288,0.0282311135533819,1.52111932926347,-0.0354441904383889,0.559627344910507,-1.13231378646298,1.06142540558621,1.28218474862976
"result.4","4",0.686,0.660903915449381,0.264350117988982,0.142777684190975,1.17903014670779,0.144311322574394,0.312579734959792,-0.468344957946799,0.756967603095587,0.961429559895851
"result.5","5",0.686,0.961996403994744,0.338723122105058,0.29809908466883,1.62589372332066,0.337690774305336,0.363776989925195,-0.375312125948046,1.05069367455872,1.02680879470642
"result.6","6",0.686,-2.71882813778178,1.1513356554664,-4.97544602249592,-0.462210253067636,0.679226565058125,2.74320957704722,-4.69746420595442,6.05591733607067,0.59395840658225
"result.7","7",0.686,0.779600790027727,0.328770133032892,0.135211329283259,1.4239902507722,0.594092136074181,0.337499374984951,-0.067406638896324,1.25559091104469,1.02151093899661
"result.8","8",0.686,0.654235630276413,0.259245142308639,0.146115151351481,1.16235610920134,0.512868551069692,0.272721712929749,-0.0216660062726165,1.047403108412,0.721766080748111
"result.9","9",0.686,0.387234679657605,0.198601929120087,-0.00202510141776596,0.776494460732977,-0.468983075554047,0.369155922541095,-1.19252868373459,0.254562532626498,0.796191430498231
"result.10","10",0.686,0.640233353001864,0.233018983608972,0.183516145128279,1.09695056087545,0.322123018347533,0.312708523016491,-0.290785686764789,0.935031723459855,0.884274591106127
"result.11","11",0.686,0.969913675335467,0.370968140817614,0.242816119332943,1.69701123133799,0.598841011951741,0.481662711094411,-0.345217901793305,1.54289992569679,1.14930221680806
"result.12","12",0.686,0.395813901598247,0.199908449491821,0.00399334059427647,0.787634462602217,0.378498818546434,0.696465060794921,-0.986572700611612,1.74357033770448,0.6601655064481
"result.13","13",0.686,0.468471602514382,0.238045076695328,0.00190325219153797,0.935039952837225,0.208800135283933,0.322305155962726,-0.42291797040301,0.840518240970876,0.745017256519079
"result.14","14",0.686,0.592881775582351,0.202861908903196,0.195272434132086,0.990491117032615,0.625293449094116,0.265953663011532,0.104024269591513,1.14656262859672,0.846568435824705
"result.15","15",0.686,0.912283186011136,0.462678512755857,0.00543330100965644,1.81913307101262,0.086309164158076,0.419234476393576,-0.735390409573333,0.908008737889485,0.956773373956524
"result.16","16",0.686,0.581084268607696,0.290238561520372,0.0122166880277671,1.14995184918763,0.577743901186012,0.401044911526071,-0.208304125405087,1.36379192777711,0.996978610362217
"result.17","17",0.686,0.675203696613,0.613967245079525,-0.528172103742868,1.87857949696887,-4.22402681346008,2.58731927375927,-9.29517259002824,0.847118963108091,3.81104791198648
"result.18","18",0.686,0.736425111793412,0.285961496141504,0.175940579356065,1.29690964423076,0.505670406806647,0.341737112507574,-0.164134333708199,1.17547514732149,1.0054159051546
"result.19","19",0.686,0.981918635707819,0.279892947700711,0.433328458214424,1.53050881320121,0.815147776207964,0.331698992448208,0.165017751009476,1.46527780140645,1.29200199751547
"result.20","20",0.686,0.537926748455184,0.259508968920593,0.0292891693708213,1.04656432753955,0.160254655036725,0.310940748019758,-0.449189211082001,0.769698521155451,0.8727827359914
"result.21","21",0.686,0.403608091019951,0.183093290415341,0.044745241805882,0.76247094023402,0.452562867167136,0.233094620593003,-0.00430258919514986,0.909428323529421,0.737965707856495
"result.22","22",0.686,0.957314943332444,0.59736897497548,-0.213528247619496,2.12815813428439,0.548281430411099,0.703802833317097,-0.831172122890411,1.92773498371261,1.60292262140797
"result.23","23",0.686,0.638081795023285,0.310560519207053,0.0293831773774615,1.24678041266911,0.209558125477962,0.31031956883082,-0.398668229430445,0.817784480386369,0.71973322926465
"result.24","24",0.686,0.796304939168804,0.291199243533606,0.225554421842937,1.36705545649467,0.598606574528186,0.380355172917766,-0.146889564390636,1.34410271344701,1.10969481718462
"result.25","25",0.686,0.510511147346307,0.244929005657087,0.0304502962584157,0.990571998434198,-0.0270642054414107,0.31107247582304,-0.636766258054569,0.582637847171748,0.807368331554241
"result.26","26",0.686,0.983581633701936,0.354127304974178,0.289492115952548,1.67767115145132,0.266196962261064,0.316574082576975,-0.354288239589807,0.886682164111935,1.09514234715936
"result.27","27",0.686,0.87195271154832,0.578637096883063,-0.262175998342484,2.00608142143912,-1.34320026201986,0.984978774653934,-3.27375866034157,0.58735813630185,1.42045043316993
"result.28","28",0.686,0.27450694332794,0.15691782437955,-0.0330519924559776,0.582065879111858,0.200133675722373,0.305746029647553,-0.399128542386831,0.799395893831577,0.699384259232202
"result.29","29",0.686,0.513224676854871,0.271954006507254,-0.0198051758993467,1.04625452960909,-1.7603168785091,1.04845334436839,-3.81528543347115,0.294651676452946,1.59226713635772
"result.30","30",0.686,0.53794360196973,0.275611880135223,-0.00225568309530599,1.07814288703477,0.413294036356348,0.289457573921489,-0.15404280852977,0.980630881242467,0.689059161355031
"result.31","31",0.686,1.20245897485387,0.315720017015656,0.583647741503181,1.82127020820455,1.29850808621646,0.365605197920088,0.581921898293083,2.01509427413983,1.52744122338771
