"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.704038211409521,0.0244781963845368,0.656060946495829,0.752015476323214,0.685583447536182,0.0246740616691235,0.6372222866647,0.733944608407664,0.709672164406214
"result.2","2",0.686,0.723888425703318,0.0253613230189933,0.674180232586091,0.773596618820545,0.712660120260821,0.0250279812964002,0.663605276919877,0.761714963601766,0.712657854877496
"result.3","3",0.686,0.658256880333557,0.0242077715246801,0.610809648145184,0.70570411252193,0.654978304105295,0.0241347235284608,0.607674245989511,0.702282362221078,0.655269939119872
"result.4","4",0.686,0.659661545222592,0.0238285392496674,0.612957608293244,0.70636548215194,0.659385428785148,0.0237324905857296,0.612869747237118,0.705901110333178,0.659956428449895
"result.5","5",0.686,0.713913374709606,0.0249567464511664,0.66499815166532,0.762828597753892,0.696222705982665,0.0246549971252583,0.647898911617159,0.744546500348171,0.696222219407276
"result.6","6",0.686,0.685212907563292,0.0242736079556822,0.637636635970155,0.732789179156429,0.678838501045051,0.024247463155529,0.631313473260214,0.726363528829888,0.679547827091644
"result.7","7",0.686,0.66666457017996,0.0242456496274737,0.619143096910111,0.714186043449808,0.65944862558523,0.0240986638578206,0.612215244423902,0.706682006746559,0.659464611357414
"result.8","8",0.686,0.712747215546555,0.0249762040944582,0.663793855521417,0.761700575571693,0.697292031030069,0.0246933160564103,0.648893131559505,0.745690930500633,0.697253824284618
"result.9","9",0.686,0.663887511807359,0.023879273042439,0.617084136644179,0.71069088697054,0.660996596431879,0.0238271361770266,0.614295409524907,0.707697783338851,0.660922597014699
"result.10","10",0.686,0.674878731193372,0.0237050673877588,0.628416799113364,0.721340663273379,0.663523375814821,0.0235506720999219,0.617364058498974,0.709682693130668,0.66362418897405
"result.11","11",0.686,0.72506959466327,0.0247005625233936,0.676656492117418,0.773482697209121,0.710677884337719,0.0244730110182193,0.662710782742009,0.758644985933428,0.710819584383168
"result.12","12",0.686,0.702221161317012,0.0241572988883324,0.654872855495881,0.749569467138144,0.687789167340073,0.0241656756493167,0.640424443067412,0.735153891612734,0.699147815318882
"result.13","13",0.686,0.708250282609206,0.024903794411301,0.659438845563056,0.757061719655356,0.694582059043712,0.0247291581773602,0.646112909016086,0.743051209071338,0.694731154457269
"result.14","14",0.686,0.671548331528241,0.0237519515538504,0.624994506482694,0.718102156573788,0.658818480479983,0.0234580379259125,0.612840726145195,0.704796234814772,0.658818742291131
"result.15","15",0.686,0.694862708688855,0.0250873259414773,0.64569154984356,0.744033867534151,0.688759274983354,0.0249511990939817,0.63985492475915,0.737663625207558,0.688758838205368
"result.16","16",0.686,0.692060498005033,0.0244768755377332,0.644085821951076,0.74003517405899,0.690875603022534,0.0244774440466937,0.642899812691014,0.738851393354053,0.692346763607016
"result.17","17",0.686,0.661312556553858,0.0242115593860831,0.613857900157135,0.708767212950581,0.646140897790116,0.023915789334975,0.599265950693565,0.693015844886667,0.646431989337582
"result.18","18",0.686,0.71940695596195,0.024986001498182,0.670434393025513,0.768379518898387,0.711477656982759,0.0248689898586931,0.662734436859721,0.760220877105797,0.711503993846722
"result.19","19",0.686,0.712296358796221,0.0250549421482869,0.663188672185578,0.761404045406863,0.691012535786197,0.0249666684391762,0.642077865645412,0.739947205926982,0.701442634178301
"result.20","20",0.686,0.721967690818842,0.0257556932124884,0.671486532122365,0.772448849515319,0.710139665211052,0.0255365242228623,0.660088077734242,0.760191252687862,0.710139457463304
"result.21","21",0.686,0.658312733163577,0.0240788784080855,0.611118131483729,0.705507334843424,0.654468889614514,0.0238754583198025,0.607672991307701,0.701264787921327,0.654521357695671
