"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.722405692848502,0.0251359422557054,0.673139246027319,0.771672139669685,0.720506253189613,0.0251360212015408,0.671239651634593,0.769772854744633,0.722983183992102
"result.2","2",0.686,0.685531655232053,0.0244583107613623,0.637593366139782,0.733469944324323,0.684115856397229,0.0243682510298802,0.636354084378664,0.731877628415794,0.680856202438767
"result.3","3",0.686,0.702167384887212,0.0247514269650398,0.653654588035734,0.75068018173869,0.702525467634725,0.0247514993824297,0.654012528845162,0.751038406424287,0.703956465061477
"result.4","4",0.686,0.688211931910593,0.0246182014604017,0.639960257048206,0.736463606772981,0.687281594334455,0.0244388859338639,0.639381377904082,0.735181810764828,0.678795067418318
"result.5","5",0.686,0.683241806259739,0.0249469518790848,0.634345780576733,0.732137831942746,0.685651360099566,0.0249470399258235,0.636755161844952,0.73454755835418,0.684130743064958
"result.6","6",0.686,0.698629787090983,0.0247754025426392,0.65006999810741,0.747189576074556,0.701420904414493,0.0247754808406097,0.652860961966898,0.749980846862088,0.699715000610534
"result.7","7",0.686,0.705686402841107,0.0243663092432977,0.657928436724243,0.75344436895797,0.707246976154495,0.0241918722982622,0.659830906449901,0.754663045859089,0.695850282316404
"result.8","8",0.686,0.68712756446189,0.0245987762690662,0.638913962974521,0.73534116594926,0.688808691023502,0.0247753630444448,0.64024897945639,0.737368402590614,0.698637934155073
"result.9","9",0.686,0.673186802688206,0.0245191341201704,0.625129299812672,0.72124430556374,0.674985525908677,0.0246990681086054,0.62657535241581,0.723395699401543,0.684197827158824
"result.10","10",0.686,0.643618113244776,0.0242824158623546,0.596024578154561,0.691211648334991,0.642812397089309,0.024282488291318,0.595218720038326,0.690406074140292,0.645011336039286
"result.11","11",0.686,0.686355306219772,0.0243267953621722,0.638674787309914,0.734035825129629,0.688790992851563,0.0244147743812876,0.640938035064239,0.736643950638886,0.693043087416012
"result.12","12",0.686,0.710098243679153,0.0243267582086265,0.662417797590245,0.757778689768061,0.707350848650937,0.0241586413313658,0.65999991164146,0.754701785660414,0.699643486771634
"result.13","13",0.686,0.665244072177591,0.0240512500826816,0.618103622015535,0.712384522339647,0.664886885986895,0.0239638925113419,0.617917656664665,0.711856115309125,0.661198007966877
"result.14","14",0.686,0.684064844963168,0.0244642338679224,0.63611494658204,0.732014743344296,0.682749020299699,0.0243770015549722,0.634970097251954,0.730527943347445,0.67950120696006
"result.15","15",0.686,0.65263171982968,0.0244637278727903,0.604682813199011,0.700580626460349,0.652029503257067,0.0246438368209857,0.603727583087935,0.700331423426199,0.662371359489192
"result.16","16",0.686,0.709664988247595,0.0250414420063184,0.660583761915211,0.758746214579979,0.707286545570677,0.0248650663710392,0.65855101548344,0.756022075657914,0.699358633925387
"result.17","17",0.686,0.688381943485869,0.0245918994066896,0.640181820648757,0.736582066322981,0.690697029109723,0.024591980789914,0.642496746761491,0.738897311457954,0.689004949626134
"result.18","18",0.686,0.653093140367696,0.0233406507100716,0.607345464975956,0.698840815759437,0.651788082057506,0.0235102334925351,0.605708024412138,0.697868139702875,0.66364050375075
"result.19","19",0.686,0.694841352869441,0.0246793473153858,0.646469832131285,0.743212873607597,0.698196907453307,0.0246794311297618,0.649825222438973,0.74656859246764,0.696190491742305
"result.20","20",0.686,0.690403216745762,0.0248062962828627,0.641782876031351,0.739023557460173,0.690411047236897,0.0247170865730631,0.641965557553693,0.7388565369201,0.686795861389093
"result.21","21",0.686,0.715032872452512,0.0250101997062007,0.666012881028358,0.764052863876665,0.717581827282813,0.0251015237468826,0.668382840738923,0.766780813826703,0.721497607548201
"result.22","22",0.686,0.66771798884427,0.02411208408042,0.620458304046647,0.714977673641893,0.669158704594451,0.0239373611232649,0.622241476792852,0.71607593239605,0.657811507992993
"result.23","23",0.686,0.630169526651621,0.023478689109715,0.584151295996579,0.676187757306662,0.630929721799985,0.0234787664606815,0.584911339537049,0.67694810406292,0.630420100232219
"result.24","24",0.686,0.689167937565661,0.0245744336284112,0.641002047653975,0.737333827477347,0.691665128355227,0.0245745118983226,0.643499085034515,0.73983117167594,0.689712334037543
"result.25","25",0.686,0.695520603174096,0.02520857413221,0.646111797874965,0.744929408473228,0.696669753020375,0.0253014718045852,0.647078868283388,0.746260637757362,0.702585575133402
"result.26","26",0.686,0.682544935595201,0.0245289741567056,0.634468146248058,0.730621724942344,0.682681579382076,0.0244404218682533,0.6347783525203,0.730584806243853,0.678213469161772
"result.27","27",0.686,0.686062187676693,0.024947677769451,0.637164739248569,0.734959636104817,0.683142445985262,0.0250528214013241,0.634038916038667,0.732245975931857,0.691944597950769
"result.28","28",0.686,0.707506501004713,0.0249824751703645,0.658540849670798,0.756472152338627,0.708475145057509,0.0248917089604775,0.659687395494973,0.757262894620045,0.703065996492842
"result.29","29",0.686,0.652992174908788,0.0239488040843334,0.606052518903495,0.699931830914082,0.651396536857066,0.0239488750575922,0.604456741744186,0.698336331969947,0.653630046646073
"result.30","30",0.686,0.688155395506287,0.0244641876381928,0.640205587735429,0.736105203277144,0.689831891894251,0.024553710152715,0.64170661999493,0.737957163793572,0.694008037089678
"result.31","31",0.686,0.672742906286897,0.0242953705990141,0.625123979912829,0.720361832660965,0.676262252318566,0.024383322839817,0.628470939552524,0.724053565084607,0.67922066547816
"result.32","32",0.686,0.670127001457742,0.0238494316720806,0.623382115380464,0.71687188753502,0.670177215541198,0.0239357747922418,0.623263096948404,0.717091334133992,0.676063020521517
"result.33","33",0.686,0.705186632479218,0.0244883089466304,0.657189546943822,0.753183718014614,0.705164269158809,0.0244021322798636,0.657336089890276,0.752992448427342,0.700970447194663
"result.34","34",0.686,0.673623639685115,0.0244485628032865,0.625704456590674,0.721542822779557,0.674539962236304,0.0242677548144964,0.626975162799891,0.722104761672717,0.663340676514226
"result.35","35",0.686,0.675467742762467,0.0242932745176539,0.627852924707865,0.723082560817069,0.676075459269004,0.0241169296129448,0.628806277227632,0.723344641310376,0.666654510647041
"result.36","36",0.686,0.670287942738728,0.0242065455718329,0.622843113417936,0.717732772059521,0.672424792676217,0.0242066294999515,0.624979798856312,0.719869786496122,0.67140346156402
"result.37","37",0.686,0.696751872292304,0.0247139528089141,0.648312524786832,0.745191219797775,0.698108336544427,0.0247140234725081,0.649668850538311,0.746547822550543,0.696020848311635
"result.38","38",0.686,0.672103799758127,0.0240188418439523,0.62502686974398,0.719180729772273,0.671350451151244,0.0239325801251763,0.624442594105899,0.71825830819659,0.668672459642109
"result.39","39",0.686,0.65428872315212,0.0236917144687639,0.607852962793343,0.700724483510897,0.657383254529415,0.0236917914727424,0.61094734324284,0.70381916581599,0.655751196918992
"result.40","40",0.686,0.643965216093693,0.0240120188766706,0.596901659095419,0.691028773091968,0.643800023279465,0.023832333506019,0.597088649607668,0.690511396951262,0.635059467281297
"result.41","41",0.686,0.713730902989635,0.025140774079037,0.664454985794723,0.763006820184548,0.713073007136705,0.0252306026612804,0.663621025920596,0.762524988352815,0.719394872173459
"result.42","42",0.686,0.722941022445503,0.0256166324958329,0.67273242275367,0.773149622137335,0.724856114243192,0.0253415328467247,0.675186709863612,0.774525518622773,0.708948198251534
"result.43","43",0.686,0.680453286325016,0.0245439636953755,0.63234711748208,0.728559455167952,0.67937460213121,0.0246330069178732,0.631093908572179,0.727655295690241,0.686268165089142
"result.44","44",0.686,0.702649173110425,0.0249961351022527,0.65365674831001,0.751641597910841,0.701459580877919,0.0249038960986098,0.652647944524644,0.750271217231195,0.697815142982608
"result.45","45",0.686,0.687604711467264,0.0244990219441643,0.639586628456701,0.735622794477826,0.685529601494164,0.0243266558720361,0.637849355984973,0.733209847003355,0.677161750843937
"result.46","46",0.686,0.690359695401278,0.0242450936641079,0.642839311819627,0.73788007898293,0.689088366740779,0.0241572246883885,0.641740206351538,0.736436527130021,0.68600119999187
"result.47","47",0.686,0.68446835279414,0.0244371771985775,0.636571485484928,0.732365220103352,0.68423682635226,0.0245247575127567,0.636168301627257,0.732305351077263,0.689923482733472
"result.48","48",0.686,0.686805408376361,0.0246629386945143,0.638466048535112,0.735144768217609,0.685373563038749,0.024573130141841,0.63721022796074,0.733536898116757,0.682517768524089
"result.49","49",0.686,0.675205612986527,0.0242574586543059,0.627660994024087,0.722750231948966,0.678455611197484,0.02434422460855,0.630740930964725,0.726170291430242,0.681662628401926
"result.50","50",0.686,0.700296210779764,0.0245696702609971,0.65213965706821,0.748452764491318,0.700238043581723,0.0246578387405137,0.651908679650316,0.748567407513129,0.705651069161292
"result.51","51",0.686,0.683747986812665,0.0246340988643938,0.635465153038453,0.732030820586876,0.686966188309041,0.0246341799736941,0.638683195560601,0.735249181057482,0.684637751813364
"result.52","52",0.686,0.66039881723056,0.0243234587394958,0.612724838101149,0.708072796359972,0.662182466644698,0.0244118001001559,0.614335338448392,0.710029594841003,0.66627119121983
"result.53","53",0.686,0.687160143766339,0.0245909054438574,0.638961969096379,0.7353583184363,0.685748770409203,0.024590975715523,0.637550458006778,0.733947082811628,0.687435086043097
"result.54","54",0.686,0.670658912463221,0.0236813456345246,0.624243475019553,0.717074349906889,0.672927597117301,0.0236814276330602,0.626511998956503,0.719343195278099,0.671753304891585
"result.55","55",0.686,0.721814798050716,0.0252905994963441,0.672245223037881,0.77138437306355,0.718683010452335,0.0252906855953527,0.669113266685443,0.768252754219226,0.720952527700194
