"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.725102358695463,0.0251361741831779,0.675835457296434,0.774369260094492,0.713377606892535,0.0250575124408326,0.664264882508503,0.762490331276567,0.72234102358952
"result.2","2",0.686,0.695674010570074,0.0246578940816761,0.647344538169989,0.74400348297016,0.683487908016491,0.0244169707233808,0.635630645398665,0.731345170634318,0.683483444049348
"result.3","3",0.686,0.711410335810853,0.0246300938720032,0.663135351821727,0.75968531979998,0.698556318759583,0.0243644270659454,0.65080204171033,0.746310595808837,0.699258093495474
"result.4","4",0.686,0.696172868929702,0.0247161371607715,0.64772924009459,0.744616497764814,0.685146391052981,0.0244436788049494,0.63723678059528,0.733056001510681,0.685110168468394
"result.5","5",0.686,0.697106225090211,0.0250890078393173,0.647931769725149,0.746280680455273,0.683993699689862,0.024885564658032,0.635217992960119,0.732769406419604,0.683993670097999
"result.6","6",0.686,0.706734049709163,0.0248399641153515,0.658047720043074,0.755420379375252,0.699670862689251,0.0246904248178633,0.651277630046239,0.748064095332263,0.701181911116851
"result.7","7",0.686,0.711559893413431,0.0243326785843904,0.663867843388026,0.759251943438836,0.707594867058692,0.0242466393395794,0.660071453953116,0.755118280164267,0.707598020300559
"result.8","8",0.686,0.700041817483441,0.024951669216922,0.651136545818274,0.748947089148608,0.688107487657886,0.0247420785809754,0.639613013639174,0.736601961676598,0.688214679345252
"result.9","9",0.686,0.675582177844038,0.0244188538443352,0.627721224309141,0.723443131378935,0.674242190970026,0.0243214090518101,0.626572229228478,0.721912152711574,0.674241832223817
"result.10","10",0.686,0.645011582666348,0.0240776363420248,0.597819415435979,0.692203749896716,0.632090129271416,0.0240341501126975,0.584983195050529,0.679197063492303,0.641891586067362
"result.11","11",0.686,0.689279540417602,0.0243842141451833,0.641486480693043,0.737072600142161,0.688278090739508,0.0243009820388039,0.640648165943453,0.735908015535564,0.688535989903069
"result.12","12",0.686,0.725365116834547,0.0246546235611611,0.677042054654671,0.773688179014423,0.709036941697969,0.0244304489600014,0.661153261736367,0.756920621659572,0.709036602851537
"result.13","13",0.686,0.673754034283633,0.0241038960971154,0.626510397933287,0.720997670633979,0.663075690702025,0.0239009936448644,0.616229743158091,0.709921638245959,0.663494928484244
"result.14","14",0.686,0.689151516250469,0.0245280784476508,0.641076482493073,0.737226550007864,0.684542474438422,0.0243536293785467,0.636809360856471,0.732275588020374,0.684941672565385
"result.15","15",0.686,0.662349043509248,0.0246418285353379,0.614051059579986,0.71064702743851,0.649390067835934,0.0242747457995105,0.601811566068894,0.696968569602974,0.649394887827181
"result.16","16",0.686,0.716563039485963,0.0250469032258444,0.667471109163308,0.765654969808618,0.705885023746953,0.0248129012931167,0.657251737212444,0.754518310281462,0.705909967219441
"result.17","17",0.686,0.698621380435646,0.0246805215263042,0.65024755824409,0.746995202627202,0.689989638287247,0.0245153808078758,0.64193949190381,0.738039784670684,0.690133436611339
"result.18","18",0.686,0.65732605594054,0.0235039847696703,0.611258245791986,0.703393866089094,0.651234010702903,0.02339318274964,0.605383372513608,0.697084648892197,0.65149324737345
"result.19","19",0.686,0.70142868772361,0.0247406879899734,0.652936939263262,0.749920436183958,0.690743304703874,0.0246978180453589,0.642335581334971,0.739151028072778,0.701244282882359
"result.20","20",0.686,0.692779715863346,0.0246568766957448,0.644452237539687,0.741107194187006,0.684923939799578,0.0245182810117328,0.636868109016582,0.732979770582575,0.684922804462665
"result.21","21",0.686,0.733255671651724,0.0253833263717232,0.683504351963146,0.783006991340301,0.715894323124315,0.025120059680979,0.666659006149596,0.765129640099033,0.716448241198025
"result.22","22",0.686,0.672838077726789,0.0242061782510717,0.625393968354688,0.720282187098889,0.665433325091626,0.0241260076413559,0.618146350114568,0.712720300068683,0.672208095233468
