"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.764540248597198,0.119845041777991,0.529643966712335,0.99943653048206,0.776513239325154,0.120149030400985,0.541021139739224,1.01200533891108,4.84818613398202
"result.2","2",0.686,0.591854076481741,0.101392321508486,0.393125126325109,0.790583026638372,0.639258330322923,0.10507743662207,0.433306554543666,0.845210106102179,4.60327824516813
"result.3","3",0.686,0.84030031299249,0.120978661557408,0.603182136339969,1.07741848964501,0.833802482643342,0.120219524637041,0.598172214354741,1.06943275093194,5.0364971506455
"result.4","4",0.686,0.790391986919008,0.132705451842798,0.530289301307125,1.05049467253089,0.887197452721423,0.147769755423706,0.597568732090959,1.17682617335189,5.67610675997078
"result.5","5",0.686,0.597562929032758,0.11131126894641,0.379392841897795,0.815733016167721,0.661137183258247,0.133292659155468,0.399883571313531,0.922390795202964,4.42709546481115
"result.6","6",0.686,0.637507934133478,0.0912267289008064,0.458703545487898,0.816312322779059,0.639216834337194,0.0935870364141688,0.455786242965423,0.822647425708965,3.84889828248694
"result.7","7",0.686,0.487601006394747,0.088992926307706,0.313174870831643,0.66202714195785,0.517424854744415,0.0940440213297457,0.333098572938113,0.701751136550716,4.39579340157007
"result.8","8",0.686,0.544553728296283,0.113361667425846,0.322364860141625,0.766742596450942,0.631114897363812,0.138844383220834,0.358979906250978,0.903249888476646,5.94171491652866
"result.9","9",0.686,0.610598609056412,0.119627608888104,0.376128495635728,0.845068722477096,0.676732295846303,0.129423894079265,0.423061463450943,0.930403128241663,5.52569934738994
"result.10","10",0.686,0.692350100250264,0.112732487837603,0.471394424088563,0.913305776411965,0.789268219508876,0.156737478558762,0.482062761533703,1.09647367748405,4.89133265549868
"result.11","11",0.686,0.556759276308894,0.103032050908218,0.354816456528786,0.758702096089001,0.65571362758587,0.119595837180281,0.421305786712519,0.890121468459221,5.10608082395089
"result.12","12",0.686,0.786352890912753,0.12870391685372,0.534093213879462,1.03861256794604,0.858799753710934,0.137755791901263,0.588798401584459,1.12880110583741,5.41180238513422
"result.13","13",0.686,0.904051667384454,0.141165207192044,0.627367861288047,1.18073547348086,1.04367534740961,0.177964768421338,0.694864401303786,1.39248629351543,5.38090426898546
"result.14","14",0.686,0.608097099901964,0.100108643919845,0.411884157819068,0.80431004198486,0.726452004346732,0.116358970932924,0.498388421318202,0.954515587375263,4.54995583216321
"result.15","15",0.686,0.518515095269936,0.0879435695973463,0.346145698859137,0.690884491680734,0.476201587186337,0.0977252590042563,0.284660079537994,0.667743094834679,4.27136063232691
"result.16","16",0.686,0.715429484254215,0.113309562531731,0.493342741692023,0.937516226816407,0.892331875784735,0.156096744718068,0.586382256137322,1.19828149543215,5.10793451942457
"result.17","17",0.686,0.50222240806908,0.0947651386559183,0.31648273630348,0.68796207983468,0.488094052972688,0.110146186264353,0.272207527894557,0.70398057805082,4.94691268825261
"result.18","18",0.686,0.496426692372922,0.0944066241986845,0.3113897089435,0.681463675802343,0.392561591950884,0.114476701333574,0.16818725733708,0.616935926564689,4.60313237540357
"result.19","19",0.686,0.62056857162758,0.0966312569762201,0.431171307954189,0.809965835300972,0.661611925034865,0.0998579530554022,0.465890337046277,0.857333513023454,4.18661051487251
"result.20","20",0.686,0.681216563926178,0.108173258295604,0.469196977666795,0.893236150185561,0.801356624900898,0.115513662341667,0.57494984671123,1.02776340309057,4.64665572502252
"result.21","21",0.686,1.14758615426673,0.28023965690616,0.598316426730655,1.6968558818028,0.78848321019453,0.258023219787813,0.282757699410418,1.29420872097864,6.65088194299561
"result.22","22",0.686,0.641814011150234,0.108571865403787,0.429013154958811,0.854614867341657,0.725279825084798,0.121413329450241,0.487309699362326,0.96324995080727,5.0029231672167
"result.23","23",0.686,0.968796045431619,0.130579461936059,0.712860300036943,1.22473179082629,0.928080470811328,0.12955345566683,0.674155697704341,1.18200524391831,5.26477653279962
"result.24","24",0.686,0.671703865469354,0.111845285517914,0.452487105854243,0.890920625084464,0.669238799640523,0.112558142200937,0.448624840926686,0.889852758354359,5.14156745206334
"result.25","25",0.686,0.617366581477608,0.122850311841464,0.376579970268339,0.858153192686878,0.833301929448998,0.228527177547651,0.385388661455601,1.28121519744239,5.0412649463212
"result.26","26",0.686,0.608129794041165,0.114043698121089,0.38460414572383,0.831655442358501,0.612222492012723,0.140804211023337,0.336246238406982,0.888198745618464,4.97109063670439
"result.27","27",0.686,0.656857669720226,0.108880410348751,0.443452065436673,0.870263274003779,0.69430315215971,0.107361540104689,0.48387453355452,0.9047317707649,5.00279509654915
"result.28","28",0.686,0.598527994014429,0.105842015940092,0.391077642771849,0.805978345257009,0.628251844389747,0.133687194393575,0.36622494337834,0.890278745401154,4.89036942420845
"result.29","29",0.686,0.57332462355554,0.092521681095534,0.391982128608293,0.754667118502787,0.600688116243808,0.0925854432006243,0.419220647570584,0.782155584917032,4.27845594064352
"result.30","30",0.686,0.505243027644286,0.0858415917560902,0.336993507802349,0.673492547486222,0.546414682334273,0.0897389288023937,0.370526381881581,0.722302982786965,4.12499846348968
"result.31","31",0.686,0.90230832462853,0.131369190555307,0.644824711140127,1.15979193811693,0.956424965101502,0.132279623742995,0.697156902565232,1.21569302763777,5.44591300550162
"result.32","32",0.686,0.761981751064824,0.112464767545419,0.541550806675803,0.982412695453844,0.764579593599777,0.113689393365723,0.541748382602959,0.987410804596594,4.98899371167075
"result.33","33",0.686,0.672108995226358,0.113685139991465,0.449286120843087,0.894931869609629,0.670509106688295,0.113222544612903,0.448592919247004,0.892425294129585,5.1410866206294
"result.34","34",0.686,0.703710296742024,0.120027143826012,0.46845709484304,0.938963498641007,0.800833246760367,0.12821263540039,0.549536481375603,1.05213001214513,5.44109321341872
"result.35","35",0.686,0.78891967548482,0.122631619241082,0.5485617017723,1.02927764919734,0.813056907089833,0.128965266913895,0.560284983938599,1.06582883024107,4.864030533565
"result.36","36",0.686,0.538540572746335,0.101384642213535,0.339826674007806,0.737254471484863,0.60898106092873,0.117810474577799,0.378072530756243,0.839889591101216,4.79624215706358
"result.37","37",0.686,0.693650461986522,0.13372146162051,0.431556397210322,0.955744526762723,0.85475468341825,0.181347692871787,0.499313205389548,1.21019616144695,5.61592881107719
"result.38","38",0.686,0.594056594191272,0.107777690749519,0.382812320322216,0.805300868060329,0.563224072398266,0.127517478699819,0.31328981414662,0.813158330649912,4.93539757077434
"result.39","39",0.686,0.55856514622465,0.11755523858505,0.328156878597953,0.788973413851348,0.930390295113456,0.248183863685276,0.443949922290316,1.4168306679366,5.90463148822536
"result.40","40",0.686,0.866291797840549,0.12525732599741,0.620787438885625,1.11179615679547,0.897120199501297,0.126901941704438,0.648392393760599,1.145848005242,5.20946755966079
"result.41","41",0.686,0.672355942548,0.101533371356268,0.473350534689715,0.871361350406286,0.708139641913326,0.101846837419752,0.508519840570613,0.90775944325604,4.30344109230289
"result.42","42",0.686,0.551232750682858,0.0936494668703733,0.367679795616926,0.734785705748789,0.595701537665471,0.118000250453448,0.364421046776714,0.826982028554229,4.46184334432007
"result.43","43",0.686,0.722422609658163,0.110392761186395,0.506052797732828,0.938792421583498,0.706239472863867,0.109632440921647,0.491359888657438,0.921119057070296,4.78642715186335
"result.44","44",0.686,0.606994889618341,0.112153558346553,0.387173915259097,0.826815863977585,0.81891067808514,0.185312024211971,0.455699110629677,1.1821222455406,5.18593959184544
"result.45","45",0.686,0.636357555806126,0.117500643399301,0.406056294743496,0.866658816868757,0.687566445068333,0.19608982652435,0.303230385080607,1.07190250505606,5.06866629024174
"result.46","46",0.686,0.626067944272459,0.0945069349618937,0.440834351747147,0.811301536797771,0.644283969893913,0.0958834148865773,0.456352476716221,0.832215463071604,4.10553661487374
"result.47","47",0.686,0.610357590622411,0.108526269128192,0.397646103131155,0.823069078113666,0.656221977774385,0.119469200026434,0.422062345722574,0.890381609826196,5.0006105908782
"result.48","48",0.686,0.870457703970588,0.122642568618392,0.630078269478541,1.11083713846264,0.883687534247009,0.123638627583948,0.641355824182471,1.12601924431155,4.91069271258514
"result.49","49",0.686,0.684676436108194,0.112554549587019,0.464069518917637,0.905283353298751,0.78697769411615,0.132301547568914,0.52766666088108,1.04628872735122,5.93070883119868
"result.50","50",0.686,0.592739216406263,0.0951100847187582,0.406323450357497,0.77915498245503,0.641650696299326,0.0974486374776937,0.450651366843047,0.832650025755606,4.08657910706181
"result.51","51",0.686,0.554632373179605,0.100722096327888,0.357217064376946,0.752047681982265,0.632476550853145,0.10901054013122,0.418815892195953,0.846137209510336,5.02414136011178
"result.52","52",0.686,0.521420135946887,0.103475748218236,0.318607669439145,0.72423260245463,0.59671339511508,0.104129878124691,0.392618833990687,0.800807956239474,4.62579130557265
"result.53","53",0.686,0.634624876416638,0.0914467327808182,0.455389280166235,0.813860472667042,0.621748704458261,0.0919729531661916,0.441481716252525,0.802015692663996,3.73246994559074
