"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.1","1",0.686,0.935832078294439,0.196626150070964,0.55044482415535,1.32121933243353,0.751594959861059,0.240906040170875,0.279419121126144,1.22377079859597
"result.2","2",0.686,0.663599326339208,0.0795127061768029,0.507754422232675,0.819444230445742,0.569546459686198,0.0850577236371402,0.402833321357403,0.736259598014993
"result.3","3",0.686,0.637736538508526,0.0727051373017384,0.495234469397119,0.780238607619934,0.638364126474151,0.0771255824530947,0.487197984866085,0.789530268082217
"result.4","4",0.686,0.605302688815311,0.0723172386105602,0.463560901138613,0.747044476492009,0.596168291101669,0.0721578795558587,0.454738847172186,0.737597735031152
"result.5","5",0.686,0.635693984663125,0.0790057419168925,0.480842730506015,0.790545238820234,0.6257854901649,0.0834822451423476,0.462160289685899,0.789410690643901
"result.6","6",0.686,0.641214758944633,0.0813810250937147,0.481707949760952,0.800721568128313,0.683854701450164,0.0907558860210171,0.505973164848971,0.861736238051358
"result.7","7",0.686,0.622128209320875,0.0739092631391036,0.477266053568232,0.766990365073518,0.551076905576017,0.0771700312159455,0.399823644392764,0.70233016675927
"result.8","8",0.686,0.645030441328939,0.0775381357669413,0.493055695225735,0.797005187432144,0.637461272437137,0.0791068451607305,0.482411855922106,0.792510688952169
"result.9","9",0.686,0.704202061438489,0.0778790532194808,0.551559117128307,0.856845005748672,0.636833287979008,0.088984018629907,0.46242461146439,0.811241964493626
"result.10","10",0.686,0.752857405142072,0.084775259334958,0.586697896845554,0.919016913438589,0.754120593462381,0.0882966370970977,0.581059184752069,0.927182002172693
"result.11","11",0.686,0.624900632334832,0.0889140457838315,0.450629102598522,0.799172162071142,0.583938435374863,0.0961103102875468,0.395562227211272,0.772314643538455
"result.12","12",0.686,0.649823680499788,0.0767947895933744,0.499305892896775,0.800341468102802,0.643925450796595,0.0820739017793697,0.48306060330903,0.804790298284159
"result.13","13",0.686,0.617715869865436,0.0726312937758896,0.475358534064692,0.760073205666179,0.544466545691217,0.0894383393706853,0.369167400524674,0.71976569085776
"result.14","14",0.686,0.68178300478719,0.0763290275995813,0.53217811069201,0.831387898882369,0.644997766203037,0.0784836555028825,0.491169801417387,0.798825730988686
"result.15","15",0.686,0.677396138139706,0.0784751317614576,0.523584879887249,0.831207396392163,0.623313041027493,0.0813603171338473,0.463846819445152,0.782779262609834
"result.16","16",0.686,0.828429999538011,0.126521328473479,0.580448195729992,1.07641180334603,0.701719093995443,0.110949893773974,0.484257302198455,0.919180885792432
"result.17","17",0.686,0.813200047584814,0.0838706691578502,0.648813536035428,0.977586559134201,0.799322881380551,0.0831599288531669,0.636329420828344,0.962316341932758
"result.18","18",0.686,0.785019534566192,0.0862875121815837,0.615896010690288,0.954143058442096,0.7248512067301,0.0905441132028062,0.547384744852599,0.9023176686076
"result.19","19",0.686,0.6790579894633,0.081401220459208,0.519511597363252,0.838604381563347,0.641751835269285,0.0854903492047502,0.474190750827975,0.809312919710595
"result.20","20",0.686,0.586924044509978,0.0710368750578586,0.447691769396575,0.72615631962338,0.465093854615015,0.0801434381603603,0.308012715820709,0.622174993409321
"result.21","21",0.686,0.724280669253256,0.078712654438089,0.570003866554601,0.87855747195191,0.652194439371127,0.0843808867655658,0.486807901310618,0.817580977431636
"result.22","22",0.686,0.79212006902297,0.0868422743550923,0.62190921128699,0.962330926758951,0.815224001796544,0.0893366263701115,0.640124214111125,0.990323789481962
"result.23","23",0.686,0.749496885688459,0.0873099295534928,0.578369423763613,0.920624347613305,0.650994660581038,0.0922612187812634,0.470162671769762,0.831826649392314
"result.24","24",0.686,0.715837541857968,0.0809921198988518,0.557092986856219,0.874582096859718,0.671658567510837,0.0791683755986265,0.516488551337529,0.826828583684145
"result.25","25",0.686,0.665631375808944,0.0772485391195486,0.514224239134629,0.81703851248326,0.643797711998951,0.0800853488328594,0.486830428286547,0.800764995711355
"result.26","26",0.686,0.726219970356343,0.0835296334195096,0.562501888854104,0.889938051858582,0.703239275405489,0.087055403689024,0.532610684175002,0.873867866635976
"result.27","27",0.686,0.655622222244646,0.0781545263823146,0.502439350535309,0.808805093953982,0.626532685151224,0.0782996993205304,0.473065274482984,0.780000095819463
"result.28","28",0.686,0.705571647683464,0.0914343155393673,0.526360389226304,0.884782906140624,0.459040699819052,0.127429780748611,0.209278329551773,0.70880307008633
"result.29","29",0.686,0.617555393859343,0.0801757969556769,0.460410831826216,0.774699955892469,0.558643385368725,0.0914369161675056,0.379427029680414,0.737859741057036
"result.30","30",0.686,0.74955780174761,0.0915319424371863,0.570155194570725,0.928960408924495,0.127744633497043,0.310780486347353,-0.481385119743768,0.736874386737854
"result.31","31",0.686,0.736196707114506,0.0832127417179161,0.573099733347391,0.899293680881622,0.51750172674664,0.175609533742654,0.173307040611038,0.861696412882242
"result.32","32",0.686,0.71617553660573,0.143903750285604,0.434124186045945,0.998226887165514,0.905478108684531,0.497324150108413,-0.0692772255279583,1.88023344289702
"result.33","33",0.686,0.671639864958451,0.0788552839121028,0.517083508490729,0.826196221426172,0.678506318027249,0.0822050674644529,0.517384385796921,0.839628250257577
"result.34","34",0.686,0.799583527537537,0.192179457410012,0.422911791013913,1.17625526406116,0.424323535686913,0.317994223041315,-0.198945141474064,1.04759221284789
"result.35","35",0.686,0.616533040295088,0.0804397523207437,0.45887112574643,0.774194954843745,0.517647551228631,0.0896722394046775,0.341889961995463,0.693405140461799
"result.36","36",0.686,0.743694132887017,0.0775939769147622,0.591609938134083,0.89577832763995,0.696495624670546,0.0794548750818782,0.540764069510064,0.852227179831027
"result.37","37",0.686,0.893337935571144,0.174042463906322,0.552214706314754,1.23446116482753,0.855950640346439,0.177264137207384,0.508512931419967,1.20338834927291
"result.38","38",0.686,0.774707333092072,0.0788672836113469,0.620127457213832,0.929287208970312,0.740742931300741,0.0792981541108749,0.585318549243427,0.896167313358056
"result.39","39",0.686,0.802043713488591,0.0879398257305983,0.629681655056618,0.974405771920564,0.811780558821577,0.0928333381955502,0.629827215958298,0.993733901684855
