"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.671559622716288,0.0240609535272669,0.624400153802845,0.718719091629731,0.684243583180906,0.0247157114891434,0.635800788662185,0.732686377699627,0.709038479064179
"result.2","2",0.686,0.696734169259513,0.0248486162899888,0.648030881331135,0.745437457187891,0.714170103923825,0.0250702848322342,0.665032345652646,0.763307862195004,0.714171496416693
"result.3","3",0.686,0.639240385949154,0.0238140225358081,0.59256490177897,0.685915870119338,0.651756959930302,0.0241405283364028,0.604441524390952,0.699072395469651,0.652222993137666
"result.4","4",0.686,0.638752983609536,0.0235330380403772,0.592628229050397,0.684877738168675,0.653426933540282,0.0236685311325302,0.607036612520523,0.699817254560042,0.654530169327135
"result.5","5",0.686,0.692223616071122,0.0246945378192746,0.643822321945343,0.7406249101969,0.694490955353929,0.0246923630646793,0.646093923747157,0.7428879869607,0.694493032661797
"result.6","6",0.686,0.652874786830585,0.0239790355829287,0.605875877088045,0.699873696573126,0.67432998446517,0.0243420753269394,0.626619516824369,0.722040452105972,0.67652003997725
"result.7","7",0.686,0.644134745584625,0.023832618365505,0.597422813588235,0.690846677581015,0.658620521649721,0.0240343511157854,0.611513193462782,0.70572784983666,0.658755126468633
"result.8","8",0.686,0.686975652855959,0.0245432078558536,0.638870965458486,0.735080340253432,0.698472041683143,0.0246856720681396,0.650088124429589,0.746855958936696,0.698466116017505
"result.9","9",0.686,0.646922992805843,0.023650813830914,0.600567397697251,0.693278587914434,0.653964923198082,0.0237346659270493,0.607444977981065,0.700484868415098,0.654945530615763
"result.10","10",0.686,0.647132390723347,0.0231942797766611,0.601671602361091,0.692593179085603,0.660141628220326,0.0233685962023845,0.614339179663652,0.705944076776999,0.660158677473483
"result.11","11",0.686,0.698814325430635,0.0243713913669688,0.651046398351376,0.746582252509894,0.706693018736123,0.0244521963652129,0.658766713860306,0.754619323611941,0.706763785910635
"result.12","12",0.686,0.676589480117264,0.0240262783679385,0.629497974516104,0.723680985718423,0.686318367578698,0.0243121106320633,0.638666630739854,0.733970104417543,0.69720501392557
"result.13","13",0.686,0.675791122088488,0.0246579536312506,0.627461532971237,0.724120711205739,0.688373749969829,0.0248583114432733,0.639651459541014,0.737096040398645,0.688752382222654
"result.14","14",0.686,0.649357929509191,0.0234067760096967,0.603480648530186,0.695235210488197,0.661187564492256,0.0235975497900173,0.614936366903822,0.70743876208069,0.661207685336895
"result.15","15",0.686,0.666418234692827,0.0245650724812412,0.618270692629594,0.71456577675606,0.689908417014914,0.0251355556354214,0.640642727969488,0.73917410606034,0.689655948999176
"result.16","16",0.686,0.67257598639011,0.0240569241541421,0.625424415047991,0.719727557732228,0.688640622202394,0.0243757042227507,0.640864241925803,0.736417002478986,0.690381759777215
"result.17","17",0.686,0.621553957950061,0.0234026049386435,0.57568485227032,0.667423063629803,0.634824258378706,0.0235559169973382,0.588654661063924,0.680993855693489,0.634907658423818
"result.18","18",0.686,0.698348863639181,0.024728098830848,0.649881789930719,0.746815937347643,0.70866392469118,0.0249018550095163,0.659856288872528,0.757471560509832,0.708665783099701
"result.19","19",0.686,0.682567640858089,0.0247366744120062,0.634083759010556,0.731051522705621,0.697460968818423,0.0249930806927542,0.648474530660625,0.746447406976222,0.697848417428353
"result.20","20",0.686,0.697851716170875,0.0252848230733474,0.648293462947114,0.747409969394636,0.718071805574815,0.0255160222379164,0.668060401988499,0.768083209161131,0.717558024374553
"result.21","21",0.686,0.633711539575284,0.0234996146624276,0.587652294836926,0.679770784313643,0.646396219747251,0.023902169320436,0.599547967879196,0.693244471615305,0.65693312087503
"result.22","22",0.686,0.680498080559851,0.0241579494146842,0.63314849970707,0.727847661412632,0.684973556785989,0.0242204550324657,0.637501464922357,0.732445648649622,0.684980114066623
"result.23","23",0.686,0.634240345234056,0.0236692776703566,0.587848561000157,0.680632129467955,0.641798159185009,0.0237600208926033,0.595228518235507,0.688367800134512,0.641797452008037
"result.24","24",0.686,0.673350879200659,0.0250177828802952,0.62431602475528,0.722385733646037,0.693359489778337,0.0252615779491141,0.643846796998073,0.7428721825586,0.693037112824489
"result.25","25",0.686,0.668558467860727,0.0242345106334183,0.621058827019228,0.716058108702227,0.68590428233428,0.0246337586067294,0.63762211546509,0.73418644920347,0.696774945267677
"result.26","26",0.686,0.709782099527488,0.0247555513909392,0.661261218801248,0.758302980253729,0.717907202693775,0.0248737040326991,0.669154742789685,0.766659662597865,0.717948781123088
