"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.1","1",0.686,0.703154841226646,0.163353250028003,0.382982471171761,1.02332721128153,0.681478828646345,0.164381512096231,0.359291064937732,1.00366659235496
"result.2","2",0.686,0.963922194811344,0.188578362588975,0.594308604136953,1.33353578548573,1.05257816409738,0.195298835937947,0.669792445659002,1.43536388253575
"result.3","3",0.686,1.00712093617876,0.18980893781825,0.635095418054987,1.37914645430253,1.08789000815152,0.206528737361508,0.68309368292296,1.49268633338007
"result.4","4",0.686,0.78260474644388,0.167260642938593,0.454773886284238,1.11043560660352,0.842533828107213,0.168707298346681,0.511867523347717,1.17320013286671
"result.5","5",0.686,1.12557177626847,0.183316060276241,0.766272298127033,1.4848712544099,1.21259182701867,0.192365679785792,0.835555094638515,1.58962855939882
"result.6","6",0.686,0.587549166171751,0.136468683436527,0.320070546636158,0.855027785707344,0.557635029057331,0.13383796091193,0.295312625669949,0.819957432444714
"result.7","7",0.686,0.747475795253516,0.136232197845598,0.480460687476144,1.01449090303089,0.786789721018016,0.140222269389028,0.51195407301552,1.06162536902051
"result.8","8",0.686,0.739025919263251,0.182771743475367,0.380793302051531,1.09725853647497,1.01809883529787,0.222726087706164,0.581555703393792,1.45464196720195
"result.9","9",0.686,0.778463873506902,0.175468406132726,0.43454579748676,1.12238194952704,0.829342438163326,0.189007038158037,0.458888643373573,1.19979623295308
"result.10","10",0.686,0.619180956780494,0.126421319948211,0.371395169682001,0.866966743878987,0.540770880781547,0.120959980518121,0.303689318966029,0.777852442597065
"result.11","11",0.686,0.757445642038983,0.171473679583746,0.421357230054842,1.09353405402312,0.743525052749857,0.174211901922386,0.40206972498198,1.08498038051773
"result.12","12",0.686,0.696701904785697,0.157340666771335,0.388314197913881,1.00508961165751,0.740211508772476,0.182503412977977,0.382504819335642,1.09791819820931
"result.13","13",0.686,0.814151462509978,0.182558771593034,0.45633627018763,1.17196665483233,0.968574822147793,0.20230062714253,0.572065592948433,1.36508405134715
"result.14","14",0.686,0.609022155037005,0.138992839451671,0.336596189711728,0.881448120362281,0.605098334643085,0.148172465735477,0.31468030180155,0.89551636748462
"result.15","15",0.686,0.759773205025278,0.158351012816616,0.449405219904711,1.07014119014584,0.777538579619365,0.166340752550498,0.45151070462039,1.10356645461834
"result.16","16",0.686,0.57711256834786,0.123765323296694,0.334532534686341,0.81969260200938,0.513331476793828,0.12821853507769,0.262023148041556,0.7646398055461
"result.17","17",0.686,-2.46757291919551,0.384811155244837,-3.22180278347539,-1.71334305491563,4.69368165499861,3.69461423547576,-2.54776224653388,11.9351255565311
"result.18","18",0.686,0.587071241234761,0.152403728149323,0.288359934062089,0.885782548407434,0.702636445495612,0.193715282628454,0.322954491543841,1.08231839944738
"result.19","19",0.686,0.788638595844846,0.148128096039199,0.498307527608015,1.07896966408168,0.780095426002722,0.149484489442216,0.487105826695977,1.07308502530947
"result.20","20",0.686,1.24445583135249,0.448039807163962,0.366297809311122,2.12261385339385,1.00843580467074,0.495373607077826,0.037503534798199,1.97936807454328
