"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.1","1",0.686,0.716261525483109,0.0438078473740428,0.630398144629985,0.802124906336232,0.70213951662401,0.0422451152450109,0.619339090743788,0.784939942504231
"result.2","2",0.686,0.642503024069243,0.0395817885745979,0.564922718463031,0.720083329675455,0.639190776159707,0.0396227360579724,0.561530213486081,0.716851338833333
"result.3","3",0.686,0.649924316852504,0.0402534200220349,0.571027613609316,0.728821020095693,0.658559531855301,0.0407291540547214,0.578730389908047,0.738388673802555
"result.4","4",0.686,0.638504274665987,0.041092496905575,0.55796298073106,0.719045568600914,0.630569592109151,0.0403601173793123,0.551463762045699,0.709675422172603
"result.5","5",0.686,0.65603882805966,0.0413076532387638,0.575075827711683,0.737001828407637,0.661783281781332,0.0407401709623674,0.581932546695092,0.741634016867572
"result.6","6",0.686,0.562395638373069,0.0366075202677966,0.490644898648188,0.634146378097951,0.564072437681302,0.037901150710736,0.489786182288259,0.638358693074344
"result.7","7",0.686,0.736973401339678,0.0439096428435934,0.650910501366235,0.823036301313121,0.734853125856481,0.0435708806665417,0.649454199750059,0.820252051962903
"result.8","8",0.686,0.61732171584397,0.0386600285819449,0.541548059823358,0.693095371864582,0.623054061790567,0.0398206912073425,0.545005507024175,0.701102616556958
"result.9","9",0.686,0.676055756828138,0.0416299757797697,0.594461004299789,0.757650509356487,0.675906569050252,0.0428325419950438,0.591954786739966,0.759858351360538
"result.10","10",0.686,0.60448430667383,0.0394829701631572,0.527097685154042,0.681870928193618,0.595045032855251,0.039083804890307,0.51844077527025,0.671649290440253
"result.11","11",0.686,0.727792068516332,0.0413682921335316,0.64671021593461,0.808873921098054,0.731728974603307,0.0429226171543679,0.647600644980746,0.815857304225868
"result.12","12",0.686,0.673198207487787,0.0404108182792184,0.593993003660519,0.752403411315056,0.673492211883529,0.0407103486096448,0.593699928608626,0.753284495158433
"result.13","13",0.686,0.654122798428281,0.0409149118452993,0.573929571211494,0.734316025645067,0.656082723355592,0.0408145799983444,0.576086146558837,0.736079300152347
"result.14","14",0.686,0.677886349614655,0.04285019307744,0.593899971182873,0.761872728046438,0.662297972512315,0.0406142673857414,0.582694008436261,0.741901936588368
"result.15","15",0.686,0.64775698923711,0.0405678103583711,0.568244080934703,0.727269897539517,0.665131810968329,0.0404200660599494,0.585908481490828,0.744355140445829
"result.16","16",0.686,0.679858468309755,0.0424456229972979,0.596665047235051,0.763051889384459,0.66834849808356,0.0410767094307903,0.587838147599211,0.748858848567909
"result.17","17",0.686,0.644307073410274,0.0417066035424337,0.562562130467104,0.726052016353444,0.6521481541206,0.0407886313712226,0.572202436633003,0.732093871608196
"result.18","18",0.686,0.65547059443875,0.0391982547558253,0.578642015117332,0.732299173760168,0.654047076431188,0.0396543264644809,0.576324596560806,0.731769556301571
"result.19","19",0.686,0.7105655989516,0.0413530106201131,0.629513698136178,0.791617499767022,0.702310506556499,0.0421726759307775,0.619652061732175,0.784968951380823
"result.20","20",0.686,0.675616529954293,0.042278545167697,0.592750581425607,0.758482478482979,0.677851745772392,0.042495332455657,0.594560894159304,0.761142597385479
"result.21","21",0.686,0.645161687758726,0.0409995503814211,0.564802569011141,0.725520806506311,0.635417897947369,0.0404394477796079,0.556156580299337,0.7146792155954
"result.22","22",0.686,0.732085837428362,0.0436758725991722,0.646481127133985,0.81769054772274,0.742116120639993,0.0448564075343687,0.65419756187263,0.830034679407356
"result.23","23",0.686,0.67202907826413,0.04085061806322,0.591961866860219,0.752096289668042,0.668472681685954,0.0398408653338601,0.590384585631588,0.74656077774032
"result.24","24",0.686,0.671767549276831,0.0419002970025526,0.589642967151828,0.753892131401834,0.654914681092343,0.0403921143173084,0.575746137030419,0.734083225154268
"result.25","25",0.686,0.65223590842121,0.0410013444894218,0.571873273221944,0.732598543620477,0.649233006902104,0.0410522594820183,0.568770578317348,0.72969543548686
"result.26","26",0.686,0.701500019472904,0.0433357026566268,0.616562042265915,0.786437996679892,0.687003246041808,0.0435142581690941,0.601715300030384,0.772291192053233
"result.27","27",0.686,0.610620277575474,0.0393325695510205,0.533528441255474,0.687712113895474,0.622455087140828,0.0391789935614855,0.545664259760316,0.699245914521339
"result.28","28",0.686,0.71915964904739,0.0437354851594652,0.633438098134838,0.804881199959941,0.718544735154147,0.0429461167409366,0.634370346341912,0.802719123966383
"result.29","29",0.686,0.669496940591593,0.0418156577626699,0.58753825137676,0.751455629806426,0.669438319606676,0.0417923417780597,0.587525329721679,0.751351309491673
"result.30","30",0.686,0.658888165860516,0.0416624595937977,0.577229745056673,0.74054658666436,0.683470631193703,0.0413429224657552,0.602438503160823,0.764502759226584
"result.31","31",0.686,0.697428434926856,0.0426486934171649,0.613836995829212,0.781019874024499,0.687696583111873,0.0423044443152897,0.604779872253905,0.770613293969841
"result.32","32",0.686,0.642128569943613,0.0408962069642947,0.561972004293596,0.722285135593631,0.653557458900965,0.0410173393656026,0.573163473744384,0.733951444057546
"result.33","33",0.686,0.673063758081026,0.0421881218355994,0.590375039283251,0.755752476878801,0.684649366020362,0.0419377000420028,0.602451473938036,0.766847258102687
"result.34","34",0.686,0.657304203476731,0.041924962466843,0.575131277041718,0.739477129911743,0.663171740776415,0.0412284479461793,0.582363982801904,0.743979498750927
"result.35","35",0.686,0.70342468166248,0.0415629365321184,0.621961326059528,0.784888037265432,0.720203682626722,0.0423575284797288,0.637182926806453,0.80322443844699
"result.36","36",0.686,0.660251984297191,0.040735672490887,0.580410066215053,0.74009390237933,0.674373163890608,0.0421773408520218,0.591705575820645,0.757040751960571
"result.37","37",0.686,0.751130036072974,0.0450102062184295,0.662910031884853,0.839350040261096,0.736678906832841,0.0453455883018889,0.647801553761138,0.825556259904543
"result.38","38",0.686,0.650618192907135,0.0413931201098058,0.569487677491916,0.731748708322354,0.645484119746362,0.0402394424588677,0.566614812526981,0.724353426965742
"result.39","39",0.686,0.604239212762119,0.0385281273481365,0.528724083159771,0.679754342364466,0.596289569208747,0.0384607980121057,0.52090640510502,0.671672733312474
"result.40","40",0.686,0.706751810417415,0.0429429550726797,0.622583618474963,0.790920002359867,0.703443319868442,0.0430079106711586,0.619147814952972,0.787738824783913
"result.41","41",0.686,0.581068093672622,0.0387726634879555,0.50507367323623,0.657062514109015,0.586127006743471,0.0384958355428853,0.510675169079416,0.661578844407526
"result.42","42",0.686,0.589947383225943,0.0391939116056109,0.513127316478945,0.66676744997294,0.593120430827672,0.0383070485369065,0.518038615695336,0.668202245960009
"result.43","43",0.686,0.567797508087798,0.0378527265682588,0.493606164014011,0.641988852161586,0.552960120998692,0.0366691199303138,0.481088645935277,0.624831596062107
"result.44","44",0.686,0.651727257431061,0.0409062768036728,0.571550954895862,0.731903559966259,0.661682040118448,0.0414115373793555,0.580515426854912,0.742848653381985
"result.45","45",0.686,0.588910671541869,0.0400473652077803,0.510417835734619,0.667403507349118,0.601514533001595,0.0396993868038155,0.523703734866117,0.679325331137073
"result.46","46",0.686,0.638205762338792,0.0414725192004461,0.556919624705918,0.719491899971667,0.631356033307994,0.0406970845678527,0.551589747555003,0.711122319060985
"result.47","47",0.686,0.640654958502094,0.0400487338417383,0.562159440172287,0.719150476831901,0.645587609543745,0.0409239446947274,0.56537667794208,0.725798541145411
"result.48","48",0.686,0.65186814868209,0.0388397832239584,0.575742173563132,0.727994123801049,0.661352747066804,0.0405171777785822,0.581939078620783,0.740766415512825
"result.49","49",0.686,0.642476721410542,0.0409406495800683,0.562233048233608,0.722720394587476,0.643238513205621,0.041604703929254,0.561693293504283,0.724783732906959
"result.50","50",0.686,0.753698738989877,0.0444010098272688,0.66667275972843,0.840724718251324,0.755280702478578,0.0447202322487816,0.667629047270966,0.84293235768619
"result.51","51",0.686,0.707799607545547,0.0433220157010315,0.622888456771526,0.792710758319569,0.707491318122527,0.0437359964292003,0.621768765121295,0.79321387112376
"result.52","52",0.686,0.659378692850348,0.0413229213675078,0.578385766970033,0.740371618730663,0.662332611549049,0.0415948833657511,0.580806640152177,0.743858582945921
"result.53","53",0.686,0.756987767281525,0.0433853775711589,0.671952427242053,0.842023107320996,0.754549361827798,0.0445020357128876,0.667325371830538,0.841773351825058
"result.54","54",0.686,0.666717146898528,0.0398044529242323,0.588700419167033,0.744733874630023,0.667308987382945,0.0403340347458684,0.588254279281043,0.746363695484847
"result.55","55",0.686,0.687479494395912,0.0416242424871869,0.605895979121026,0.769063009670798,0.69102933287126,0.0429096086572653,0.60692649990302,0.7751321658395
"result.56","56",0.686,0.691303733815026,0.0423746047602038,0.608249508485027,0.774357959145026,0.677712269296227,0.0410744000123924,0.597206445271937,0.758218093320516
"result.57","57",0.686,0.605275710633856,0.0385475222862045,0.529722566952896,0.680828854314817,0.610625699984113,0.0381942456537566,0.53576497850275,0.685486421465476
"result.58","58",0.686,0.673302444461214,0.0420998772706527,0.590786685010735,0.755818203911694,0.652564224860531,0.0412511916173223,0.57171188929058,0.733416560430483
"result.59","59",0.686,0.615944402281054,0.0384374841961011,0.540606933256695,0.691281871305412,0.618439463495852,0.0396913515903581,0.54064441437875,0.696234512612954
"result.60","60",0.686,0.646108580002646,0.0398981977148503,0.567908112481539,0.724309047523752,0.641479551795217,0.0393984799903628,0.564258531014106,0.718700572576329
"result.61","61",0.686,0.679566383119354,0.041461660990813,0.598301527577361,0.760831238661348,0.672019415776157,0.0418066534388093,0.590078375036091,0.753960456516223
"result.62","62",0.686,0.716471917499071,0.0427590259337752,0.632664226668871,0.80027960832927,0.713872339481979,0.0416925162429859,0.632155007645727,0.795589671318232
"result.63","63",0.686,0.66290945985935,0.0407885403398211,0.582963920793301,0.7428549989254,0.663314345255748,0.0413461954518613,0.582275802170099,0.744352888341396
"result.64","64",0.686,0.717167637403516,0.0411699175434752,0.636474599018304,0.797860675788727,0.706635618263377,0.0414676735251218,0.625358978154138,0.787912258372616
"result.65","65",0.686,0.667526300102042,0.0413132022035079,0.586552423783166,0.748500176420917,0.673461398717061,0.0415411584916861,0.592040728073356,0.754882069360765
"result.66","66",0.686,0.643598422272491,0.0405978702340808,0.564026596613692,0.723170247931289,0.638648119357569,0.0396965757317685,0.560842830923302,0.716453407791835
"result.67","67",0.686,0.726520556714945,0.043462408965014,0.641334235143518,0.811706878286372,0.723000268707458,0.0435682228480375,0.637606551925305,0.808393985489612
"result.68","68",0.686,0.606427202208785,0.0382715688221986,0.531414927317275,0.681439477100294,0.597169587604665,0.0381213570726473,0.522451727742276,0.671887447467053
"result.69","69",0.686,0.667768748673696,0.041181039057206,0.587053912121572,0.74848358522582,0.671969787720489,0.0415707228136678,0.5904911710057,0.753448404435278
"result.70","70",0.686,0.665052062888305,0.0405743068667407,0.585526421429493,0.744577704347117,0.66046661437765,0.0411613305696262,0.579790406461183,0.741142822294117
"result.71","71",0.686,0.70952457453392,0.0427945258277088,0.625647303911611,0.79340184515623,0.716046256531031,0.0426802413284357,0.632392983527297,0.799699529534765
"result.72","72",0.686,0.614283641170994,0.0390727516679832,0.537701047901747,0.690866234440241,0.611622411913491,0.0390409564543186,0.535102137263026,0.688142686563955
"result.73","73",0.686,0.601212369857347,0.0390066568415656,0.524759322447878,0.677665417266816,0.610030184447459,0.0383328864354078,0.53489772703406,0.685162641860858
"result.74","74",0.686,0.700975287011201,0.0427095216304047,0.617264624615608,0.784685949406794,0.699424416352847,0.0424338348934531,0.616254099961679,0.782594732744015
"result.75","75",0.686,0.66666060011459,0.0417318882290335,0.584866099185685,0.748455101043496,0.653677652066966,0.040939319652041,0.573436585548966,0.733918718584967
"result.76","76",0.686,0.60988229152575,0.0388123060136715,0.533810171738954,0.685954411312546,0.604240161107271,0.0394329815113041,0.526951517345115,0.681528804869427
"result.77","77",0.686,0.67650265776938,0.0431718157650175,0.591885898869946,0.761119416668815,0.672416241141712,0.0419547246056922,0.590184980914555,0.754647501368868
"result.78","78",0.686,0.603931205297731,0.0384896383476517,0.528491514136334,0.679370896459128,0.604809553964137,0.0395636040169483,0.527264890090918,0.682354217837356
"result.79","79",0.686,0.668759238261212,0.0406670165512199,0.589051885820821,0.748466590701603,0.663938832538417,0.0396837264976166,0.586158728603088,0.741718936473745
"result.80","80",0.686,0.714226044305854,0.0417828387720436,0.632331680312649,0.79612040829906,0.722600036914435,0.0423234510863011,0.639646072785284,0.805554001043585
"result.81","81",0.686,0.639041819571058,0.0401594945975487,0.560329210159863,0.717754428982254,0.662169503940269,0.0401163558814052,0.583541446412714,0.740797561467823
"result.82","82",0.686,0.63687529088798,0.0396645020507387,0.559132866868532,0.714617714907428,0.640849787360592,0.0411220249348374,0.560250618488311,0.721448956232874
"result.83","83",0.686,0.64751604728061,0.0403536424671257,0.568422908045043,0.726609186516176,0.643925612186742,0.0402547216433166,0.565026357765841,0.722824866607642
"result.84","84",0.686,0.68417522411888,0.0418953625088033,0.602060313601626,0.766290134636135,0.680803596577773,0.0412791117753405,0.599896537498105,0.76171065565744
"result.85","85",0.686,0.593993388015447,0.0390919199065167,0.517373224998674,0.670613551032219,0.594920829556414,0.0390242380509602,0.518433322976532,0.671408336136296
"result.86","86",0.686,0.680706830680847,0.0412546373061645,0.599847741560764,0.761565919800929,0.664030203158318,0.0412597881849197,0.583161018315876,0.744899388000761
"result.87","87",0.686,0.650219810634783,0.039654820698205,0.572496362066301,0.727943259203265,0.652655789603529,0.0406979157489953,0.572887874735499,0.73242370447156
"result.88","88",0.686,0.670306408618067,0.041212507745916,0.589529893436071,0.751082923800062,0.676920600641267,0.0401484954978808,0.598229549465421,0.755611651817114
