"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",1.00295,0.997156267318368,0.0761864899302052,0.847830747055166,1.14648178758157,1.026198537528,0.0760416498126248,0.877156903895255,1.17524017116074,0.99462188484409,0.0771988255842097,0.843312186699039,1.14593158298914,0,0,0,0
"result.2","2",1.00295,0.896090879205128,0.073240758121413,0.752538993287158,1.0396427651231,0.918869893471052,0.0724649560111525,0.776838579689193,1.06090120725291,0.877067822405728,0.0728838313461425,0.734215512967288,1.01992013184417,0,0,0,0
"result.3","3",1.00295,1.18001431197299,0.0807963132820657,1.02165353794014,1.33837508600583,1.1876731874842,0.0787594977569713,1.03330457188053,1.34204180308786,1.11747023764873,0.0787690797478498,0.963082841342944,1.27185763395452,0,0,0,0
"result.4","4",1.00295,0.952678662535178,0.0762557779769781,0.803217337700301,1.10213998737005,0.961748773612514,0.0748787921174162,0.814986341062378,1.10851120616265,0.911945959231602,0.0751365052157415,0.764678409008748,1.05921350945446,0,0,0,0
"result.5","5",1.00295,0.900700024302665,0.0730020886661425,0.757615930517026,1.0437841180883,0.920105249961834,0.0719371906714211,0.779108356245849,1.06110214367782,0.865395266789661,0.0726136288839308,0.723072554177157,1.00771797940217,0,0,0,0
"result.6","6",1.00295,1.06031496952743,0.0781726445782992,0.907096586153968,1.2135333529009,1.04811227827295,0.0752243801194936,0.900672493238742,1.19555206330716,0.973677296747783,0.0746050684966698,0.82745136249431,1.11990323100126,0,0,0,0
"result.7","7",1.00295,0.960434944699558,0.0723207605600628,0.818686254001835,1.10218363539728,0.972246373426288,0.0712633620984091,0.832570183713406,1.11192256313917,0.928173559361186,0.0715544411972154,0.787926854614644,1.06842026410773,0,0,0,0
"result.8","8",1.00295,1.09209385893592,0.0824741633066705,0.930444498854842,1.25374321901699,1.11000502300937,0.0816381756852299,0.94999419866632,1.27001584735242,1.06740148166115,0.0816449571228569,0.907377365700348,1.22742559762195,0,0,0,0
"result.9","9",1.00295,1.02950000810766,0.0786344070672117,0.875376570255926,1.1836234459594,1.04156758595966,0.0769942707259035,0.890658815336885,1.19247635658243,0.983530570368908,0.0769471761716496,0.832714105072474,1.13434703566534,0,0,0,0
"result.10","10",1.00295,0.986281823651517,0.0771026357436788,0.835160657593906,1.13740298970913,1.01079330993101,0.076108444361099,0.861620758983258,1.15996586087877,0.964497338558923,0.0768064099229248,0.81395677510999,1.11503790200786,0,0,0,0
"result.11","11",1.00295,1.11921597999426,0.0806810208886073,0.961081179052594,1.27735078093594,1.13108533271558,0.079421627085053,0.975418943628876,1.28675172180228,1.07724363546241,0.0794917705788561,0.921439765127855,1.23304750579697,0,0,0,0
"result.12","12",1.00295,0.984414061252472,0.0781736074164653,0.8311937907162,1.13763433178874,0.988488316205133,0.0757420300709254,0.840033937266119,1.13694269514415,0.918147279913336,0.0757070041941366,0.769761551692828,1.06653300813384,0,0,0,0
"result.13","13",1.00295,1.00942440847015,0.0790168526775314,0.85455137722219,1.16429743971811,1.02004421547653,0.0774607813116411,0.868221084105712,1.17186734684734,0.965132621040741,0.0774659010511346,0.813299454980517,1.11696578710096,0,0,0,0
"result.14","14",1.00295,1.02570363966731,0.0785203139526601,0.871803824320095,1.17960345501452,1.03043764778102,0.0769556027666695,0.879604666358345,1.18127062920369,0.977595517187972,0.0765318884459412,0.827593015833927,1.12759801854202,0,0,0,0
"result.15","15",1.00295,1.03047190835333,0.080985767344695,0.871739804357728,1.18920401234893,1.04744838820354,0.0802705378803966,0.89011813395796,1.20477864244911,1.00203266129557,0.0812539334596313,0.842774951714696,1.16129037087645,0,0,0,0
"result.16","16",1.00295,1.02618492648025,0.0755063347695742,0.878192510331887,1.17417734262862,1.03439509998743,0.074209135455531,0.888945194494584,1.17984500548027,0.987667909564733,0.0741455793160255,0.842342574105323,1.13299324502414,0,0,0,0
"result.17","17",1.00295,1.05832999867415,0.081929952031624,0.897747292692163,1.21891270465613,1.06930730373551,0.0804862668677507,0.911554220674715,1.2270603867963,1.01883039983049,0.0809103741643268,0.860246066468408,1.17741473319257,0,0,0,0
"result.18","18",1.00295,1.14850925766268,0.0842373587627174,0.983404034487757,1.31361448083761,1.12954691479091,0.0821810744946089,0.968472008781475,1.29062182080034,1.08342592804167,0.0814224477295804,0.923837930491689,1.24301392559164,0,0,0,0
"result.19","19",1.00295,1.05256202789776,0.0807815217282908,0.894230245310313,1.21089381048521,1.07625754451378,0.0795934940668858,0.920254296142681,1.23226079288487,1.02136952098966,0.0804952944937288,0.863598743781951,1.17914029819737,0,0,0,0
"result.20","20",1.00295,0.914149817335007,0.073704522211804,0.769688953799871,1.05861068087014,0.927468478429741,0.0724200503502221,0.785525179743305,1.06941177711618,0.8822073283572,0.072487337922561,0.74013214602898,1.02428251068542,0,0,0,0
"result.21","21",1.00295,1.14854696662284,0.0815020777607972,0.988802894211677,1.308291039034,1.1676906470226,0.0808394957456167,1.00924523536119,1.32613605868401,1.12870154486098,0.0812737773225152,0.969404941308846,1.28799814841311,0,0,0,0
"result.22","22",1.00295,0.994271584787241,0.0768064885540974,0.84373086722121,1.14481230235327,1.00396620713601,0.0752862374068699,0.856405181818545,1.15152723245347,0.951286554774481,0.0754205521368427,0.803462272586269,1.09911083696269,0,0,0,0
"result.23","23",1.00295,1.03216143337871,0.0765131787305857,0.882195603066763,1.18212726369066,1.05087255081294,0.0755027467904309,0.902887167103691,1.19885793452218,1.00477865910245,0.0759130392558677,0.85598910216095,1.15356821604395,0,0,0,0
"result.24","24",1.00295,1.01639790486234,0.0760669728255313,0.867306638124297,1.16548917160038,1.03775527325071,0.075575953512305,0.889626404366597,1.18588414213483,1.0078796725991,0.0759576700422703,0.85900263931625,1.15675670588195,0,0,0,0
"result.25","25",1.00295,1.01518499272552,0.0751379226033197,0.867914664423015,1.16245532102803,1.02888881582912,0.073998304436939,0.883852139132721,1.17392549252552,0.977228945514286,0.0741221542807687,0.83194952312398,1.12250836790459,0,0,0,0
"result.26","26",1.00295,0.989674279347586,0.0755153196019143,0.841664252927834,1.13768430576734,0.999703230767597,0.0739908745572491,0.854681116635388,1.1447253448998,0.944188209415688,0.074707191259336,0.797762114547389,1.09061430428399,0,0,0,0
"result.27","27",1.00295,1.07764216483364,0.0797203780612781,0.921390223833533,1.23389410583374,1.09398320178431,0.0789473188838647,0.939246456771932,1.24871994679668,1.05540869952672,0.079560601192124,0.899469921190158,1.21134747786328,0,0,0,0
"result.28","28",1.00295,0.917607845392617,0.0718273235010028,0.776826291330651,1.05838939945458,0.918086479706114,0.0692981850175833,0.782262037071651,1.05391092234058,0.849707745275628,0.069255274397861,0.71396740745582,0.985448083095435,0,0,0,0
"result.29","29",1.00295,0.952468624913425,0.0789227102233926,0.797780112875576,1.10715713695127,0.960440108244986,0.0765736502918049,0.810355753673048,1.11052446281692,0.887712886397088,0.076564693542231,0.737646087054315,1.03777968573986,0,0,0,0
"result.30","30",1.00295,0.901368050531633,0.0726286576897297,0.759015881459763,1.0437202196035,0.913270640321113,0.0714014001246496,0.7733238960768,1.05321738456543,0.868224461680106,0.0715887349154092,0.727910541245904,1.00853838211431,0,0,0,0
"result.31","31",1.00295,0.965376644451895,0.0718799160356167,0.824492009022087,1.1062612798817,0.971861041566876,0.0701224017766335,0.834421134084674,1.10930094904908,0.911527893338039,0.0699932140214309,0.774341193856035,1.04871459282004,0,0,0,0
"result.32","32",1.00295,1.09614928332053,0.0811802964188862,0.937035902339513,1.25526266430155,1.11601308094117,0.0806682595033358,0.957903292314634,1.27412286956771,1.07860641629021,0.0812143054418845,0.919426377624121,1.23778645495631,0,0,0,0
"result.33","33",1.00295,1.1614751601053,0.0825231817421577,0.999729723890672,1.32322059631993,1.1624482710372,0.0804921015867485,1.00468375192717,1.32021279014723,1.0966658787045,0.0799424802315652,0.93997861745063,1.25335313995837,0,0,0,0
"result.34","34",1.00295,1.09282958660704,0.0818452688671412,0.932412859627441,1.25324631358663,1.13615341408768,0.082104905305977,0.975227799687962,1.29707902848739,1.10083364296381,0.0839972425491303,0.936199047567517,1.26546823836011,0,0,0,0
"result.35","35",1.00295,0.931807782729477,0.0721808797581179,0.790333258403565,1.07328230705539,0.941497240236319,0.0708338348847677,0.802662923862175,1.08033155661046,0.896005363640918,0.0708545706270097,0.757130405211978,1.03488032206986,0,0,0,0
"result.36","36",1.00295,1.02410823257797,0.0798263379833642,0.867648610130572,1.18056785502536,1.03285805625853,0.0783567000578563,0.87927892414513,1.18643718837193,0.981341267624208,0.0784068934525119,0.827663756457284,1.13501877879113,0,0,0,0
"result.37","37",1.00295,1.02890487888277,0.0774143654815299,0.877172722538967,1.18063703522656,1.04242389985166,0.0763725315402819,0.89273373803271,1.19211406167061,1.00242737280934,0.0767582020771688,0.851981296738085,1.15287344888059,0,0,0,0
"result.38","38",1.00295,0.960316309028153,0.0738924420186624,0.815487122671575,1.10514549538473,0.983150122385692,0.0736114576892634,0.838871665314736,1.12742857945665,0.946145511707391,0.0740982253084906,0.800912990102749,1.09137803331203,0,0,0,0
"result.39","39",1.00295,1.11150309998827,0.0839782115239028,0.946905805401422,1.27610039457512,1.14060821865452,0.0837364681796942,0.976484741022323,1.30473169628672,1.10340212263743,0.084848542278781,0.937098979771023,1.26970526550384,0,0,0,0
"result.40","40",1.00295,1.07755176175774,0.0789518676835497,0.922806101097985,1.2322974224175,1.10632110002906,0.0787343774737199,0.952001720180568,1.26064047987755,1.07448506373721,0.0796310928367531,0.918408121777171,1.23056200569724,0,0,0,0
"result.41","41",1.00295,1.14725694800388,0.08357455814614,0.983450814037448,1.31106308197032,1.16276842546573,0.0822406661602135,1.00157671979172,1.32396013113975,1.10733448197346,0.0823330105781784,0.945961781240226,1.26870718270669,0,0,0,0
"result.42","42",1.00295,1.04929163684797,0.0806348142264666,0.891247400964095,1.20733587273184,1.07646614165127,0.0802573774858348,0.919161681779035,1.23377060152351,1.04069866980325,0.0811565573925694,0.881631817313818,1.19976552229269,0,0,0,0
"result.43","43",1.00295,0.965866605276743,0.080525834395508,0.808035969861547,1.12369724069194,0.980469754978739,0.079187692419777,0.825261877835976,1.1356776321215,0.930411860775041,0.0795021203995875,0.774587704791849,1.08623601675823,0,0,0,0
"result.44","44",1.00295,1.05628757111272,0.0812358939647534,0.897065218941803,1.21550992328364,1.10390033607676,0.0820861107207111,0.943011559064169,1.26478911308936,1.06806312587131,0.083860151683599,0.90369722857146,1.23242902317117,0,0,0,0
"result.45","45",1.00295,1.10323886021947,0.0807383592310839,0.944991676126542,1.26148604431239,1.11420647994257,0.0788855011945229,0.959590897601301,1.26882206228383,1.055964929978,0.0793855599743808,0.900369232428211,1.21156062752778,0,0,0,0
"result.46","46",1.00295,0.902652686781112,0.0713223845795786,0.762860813005138,1.04244456055709,0.928829671254163,0.0713521201491189,0.78897951576189,1.06867982674644,0.892487548505358,0.0728763941482149,0.749649815974857,1.03532528103586,0,0,0,0
"result.47","47",1.00295,1.04807652815552,0.0799992700994905,0.891277958760517,1.20487509755052,1.06405217491776,0.0790684270785502,0.909078057843806,1.21902629199172,1.02070245327678,0.0797001996377467,0.864490061986798,1.17691484456677,0,0,0,0
